iso2_code;cluster_id;exit01;consider00;pci;ubiquity;rca01;density
AE;1.0;0;1;-2.1965966891388464;33.0;1.0;0.1143140606675041
AE;3.0;0;1;0.7833126064179957;10.0;1.0;0.0182417315811291
AE;5.0;0;1;0.1017500727985483;33.0;1.0;0.4840496454468624
AE;8.0;0;1;-0.0585876741607944;80.0;1.0;0.5449826989619377
AE;10.0;0;1;-0.7677834872566762;19.0;1.0;0.1380603701330848
AE;11.0;0;1;-0.9053943017322462;38.0;1.0;0.2704100651191472
AE;16.0;0;1;1.166622882986038;8.0;1.0;0.017047640231635
AE;18.0;0;1;0.3751752320370706;69.0;1.0;0.3637430386112612
AE;19.0;0;1;-0.1315802239610624;49.0;1.0;0.4530184051257822
AE;21.0;0;1;-0.114908452168559;50.0;1.0;0.5151491448280245
AE;25.0;0;1;-2.851588946771374e-05;80.0;1.0;0.5576592082616179
AF;1.0;0;1;-2.1965966891388464;33.0;1.0;0.4010979939021076
AL;1.0;0;1;-2.1965966891388464;33.0;1.0;0.1349022693835677
AL;8.0;0;1;-0.0585876741607944;80.0;1.0;0.5692041522491349
AL;11.0;0;1;-0.9053943017322462;38.0;1.0;0.3273495937412295
AL;18.0;0;1;0.3751752320370706;69.0;1.0;0.3756635437426661
AL;19.0;0;1;-0.1315802239610624;49.0;1.0;0.5704684408349701
AL;25.0;0;1;-2.851588946771374e-05;80.0;1.0;0.5817555938037866
AM;1.0;0;1;-2.1965966891388464;33.0;1.0;0.1188583496274834
AM;2.0;0;1;0.6857744079889588;12.0;1.0;0.0237384800889753
AM;5.0;0;1;0.1017500727985483;33.0;1.0;0.2964447576187717
AM;8.0;0;1;-0.0585876741607944;80.0;1.0;0.4982698961937716
AM;11.0;0;1;-0.9053943017322462;38.0;1.0;0.2428880992509977
AM;16.0;0;1;1.166622882986038;8.0;1.0;0.0118699590548692
AM;18.0;0;1;0.3751752320370706;69.0;1.0;0.3399020283484513
AM;19.0;0;1;-0.1315802239610624;49.0;1.0;0.4783876128389667
AM;21.0;0;1;-0.114908452168559;50.0;1.0;0.3860654755939271
AM;25.0;0;1;-2.851588946771374e-05;80.0;1.0;0.5060240963855421
AO;1.0;0;1;-2.1965966891388464;33.0;1.0;0.5784255280483025
AO;8.0;0;1;-0.0585876741607944;80.0;1.0;0.1920415224913494
AO;11.0;0;1;-0.9053943017322462;38.0;1.0;0.3622076209354293
AR;1.0;0;1;-2.1965966891388464;33.0;1.0;0.6808296298284237
AR;4.0;0;1;1.265956554326927;18.0;1.0;0.1478473059778098
AR;8.0;0;1;-0.0585876741607944;80.0;1.0;0.5432525951557092
AR;14.0;1;0;1.1620684754184163;14.0;0.0;0.1494667500276862
AR;15.0;0;1;0.2167324806246045;56.0;1.0;0.5655096158192484
AR;17.0;0;1;0.6591238368633976;35.0;1.0;0.4433114874621894
AR;18.0;0;1;0.3751752320370706;69.0;1.0;0.4744361042299166
AR;19.0;0;1;-0.1315802239610624;49.0;1.0;0.5531361712795999
AR;22.0;0;1;1.1515011687997532;18.0;1.0;0.1923899927486281
AR;25.0;0;1;-2.851588946771374e-05;80.0;1.0;0.5008605851979346
AR;26.0;0;1;0.9948344107655204;26.0;1.0;0.2630791824207076
AR;29.0;0;1;1.1796616803860769;21.0;1.0;0.1842388799795793
AR;38.0;0;1;0.7834461732581935;25.0;1.0;0.3852013048245635
AR;40.0;1;0;0.60027623407388;12.0;0.0;0.248398557777405
AR;41.0;1;0;1.1557488824238515;29.0;0.0;0.2053305872404091
AR;44.0;0;1;1.2600128962239177;13.0;1.0;0.1640822672385901
AR;50.0;0;1;0.9419746809496924;25.0;1.0;0.30558192758662
AR;54.0;0;1;0.722518437210377;33.0;1.0;0.4290899431599045
AR;57.0;1;0;0.99968770947611;18.0;0.0;0.2299450187786144
AT;2.0;0;1;0.6857744079889588;12.0;1.0;0.3221586809562236
AT;3.0;0;1;0.7833126064179957;10.0;1.0;0.3911889172271074
AT;4.0;0;1;1.265956554326927;18.0;1.0;0.4585789246981755
AT;5.0;0;1;0.1017500727985483;33.0;1.0;0.2367188958102204
AT;7.0;0;1;1.2242628697114926;22.0;1.0;0.5993777911427788
AT;8.0;1;0;-0.0585876741607944;80.0;0.0;0.2439446366782007
AT;9.0;0;1;1.1350545013133064;19.0;1.0;0.6609600578478367
AT;10.0;0;1;-0.7677834872566762;19.0;1.0;0.1376249839512603
AT;11.0;0;1;-0.9053943017322462;38.0;1.0;0.1336823806767588
AT;12.0;0;1;1.1904149973858782;13.0;1.0;0.5037911927151228
AT;14.0;0;1;1.1620684754184163;14.0;1.0;0.6057112410500286
AT;15.0;0;1;0.2167324806246045;56.0;1.0;0.3495839693462078
AT;16.0;0;1;1.166622882986038;8.0;1.0;0.6181008552969683
AT;18.0;0;1;0.3751752320370706;69.0;1.0;0.5170519100746893
AT;19.0;0;1;-0.1315802239610624;49.0;1.0;0.2009538499173351
AT;20.0;0;1;1.1408665572543455;26.0;1.0;0.5595063995290361
AT;21.0;0;1;-0.114908452168559;50.0;1.0;0.2656960784553372
AT;24.0;0;1;1.02771884270935;29.0;1.0;0.6697133751179312
AT;25.0;0;1;-2.851588946771374e-05;80.0;1.0;0.2977624784853701
AT;26.0;0;1;0.9948344107655204;26.0;1.0;0.6832646682959578
AT;27.0;0;1;0.8315979590923113;26.0;1.0;0.6148115167292839
AT;28.0;0;1;1.1896832927026175;21.0;1.0;0.6061548109686471
AT;29.0;0;1;1.1796616803860769;21.0;1.0;0.6730667059235266
AT;33.0;0;1;1.2731177358659194;17.0;1.0;0.587268777213581
AT;34.0;0;1;1.176690018020767;19.0;1.0;0.6710295482856196
AT;38.0;0;1;0.7834461732581935;25.0;1.0;0.5470594473931569
AT;39.0;0;1;1.18661736077012;20.0;1.0;0.6286888520957358
AT;40.0;0;1;0.60027623407388;12.0;1.0;0.3382695310011433
AT;41.0;0;1;1.1557488824238515;29.0;1.0;0.614016351361464
AT;42.0;0;1;1.1106494705617524;23.0;1.0;0.6815676392036598
AT;43.0;0;1;1.2862797941241264;17.0;1.0;0.6027001344184861
AT;45.0;0;1;1.1820480417872556;18.0;1.0;0.5666540180876918
AT;46.0;0;1;1.3016976092068837;13.0;1.0;0.4424453742490856
AT;50.0;0;1;0.9419746809496924;25.0;1.0;0.5365566010865019
AT;54.0;0;1;0.722518437210377;33.0;1.0;0.6498004059169886
AT;57.0;0;1;0.99968770947611;18.0;1.0;0.513136375290587
AU;1.0;0;1;-2.1965966891388464;33.0;1.0;0.0607724233185011
AU;2.0;0;1;0.6857744079889588;12.0;1.0;0.4141295397918876
