period;cluster_id_1;cluster_id_2;proximity;year
1;1.0;1.0;1.0;2020
1;1.0;2.0;0.4125874125874126;2020
1;1.0;3.0;0.3356643356643357;2020
1;1.0;4.0;0.2867132867132867;2020
1;1.0;5.0;0.5594405594405595;2020
1;1.0;6.0;0.0979020979020979;2020
1;1.0;7.0;0.20279720279720279;2020
1;1.0;8.0;0.7062937062937062;2020
1;1.0;9.0;0.26573426573426573;2020
1;1.0;10.0;0.6083916083916084;2020
1;1.0;11.0;0.7412587412587412;2020
1;1.0;12.0;0.26573426573426573;2020
1;1.0;13.0;0.1048951048951049;2020
1;1.0;14.0;0.20279720279720279;2020
1;1.0;15.0;0.5454545454545454;2020
1;1.0;16.0;0.3776223776223776;2020
1;1.0;17.0;0.32167832167832167;2020
1;1.0;18.0;0.5944055944055944;2020
1;1.0;19.0;0.7482517482517482;2020
1;1.0;20.0;0.20279720279720279;2020
1;1.0;21.0;0.7272727272727273;2020
1;1.0;22.0;0.20279720279720279;2020
1;1.0;23.0;0.07692307692307693;2020
1;1.0;24.0;0.32167832167832167;2020
1;1.0;25.0;0.6923076923076923;2020
1;1.0;26.0;0.26573426573426573;2020
1;1.0;27.0;0.3076923076923077;2020
1;1.0;28.0;0.2097902097902098;2020
1;1.0;29.0;0.25874125874125875;2020
1;1.0;30.0;0.055944055944055944;2020
1;1.0;31.0;0.0979020979020979;2020
1;1.0;32.0;0.16083916083916083;2020
1;1.0;33.0;0.17482517482517482;2020
1;1.0;34.0;0.27972027972027974;2020
1;1.0;35.0;0.11888111888111888;2020
1;1.0;36.0;0.1258741258741259;2020
1;1.0;37.0;0.0979020979020979;2020
1;1.0;38.0;0.26573426573426573;2020
1;1.0;39.0;0.23076923076923078;2020
1;1.0;40.0;0.3006993006993007;2020
1;1.0;41.0;0.25874125874125875;2020
1;1.0;42.0;0.2727272727272727;2020
1;1.0;43.0;0.17482517482517482;2020
1;1.0;44.0;0.13286713286713286;2020
1;1.0;45.0;0.24475524475524477;2020
1;1.0;46.0;0.11888111888111888;2020
1;1.0;47.0;0.11188811188811189;2020
1;1.0;48.0;0.04195804195804196;2020
1;1.0;50.0;0.2097902097902098;2020
1;1.0;51.0;0.13986013986013987;2020
1;1.0;52.0;0.13986013986013987;2020
1;1.0;53.0;0.0979020979020979;2020
1;1.0;54.0;0.32867132867132864;2020
1;1.0;55.0;0.1048951048951049;2020
1;1.0;56.0;0.0979020979020979;2020
1;1.0;57.0;0.15384615384615385;2020
1;1.0;59.0;0.16783216783216784;2020
1;2.0;1.0;0.4125874125874126;2020
1;2.0;2.0;1.0;2020
1;2.0;3.0;0.7619047619047619;2020
1;2.0;4.0;0.5238095238095238;2020
1;2.0;5.0;0.6144578313253012;2020
1;2.0;6.0;0.2222222222222222;2020
1;2.0;7.0;0.5079365079365079;2020
1;2.0;8.0;0.4666666666666667;2020
1;2.0;9.0;0.5396825396825397;2020
1;2.0;10.0;0.5164835164835165;2020
1;2.0;11.0;0.5;2020
1;2.0;12.0;0.6031746031746031;2020
1;2.0;13.0;0.23809523809523808;2020
1;2.0;14.0;0.49206349206349204;2020
1;2.0;15.0;0.5802469135802469;2020
1;2.0;16.0;0.7619047619047619;2020
1;2.0;17.0;0.4603174603174603;2020
1;2.0;18.0;0.5747126436781609;2020
1;2.0;19.0;0.5495495495495496;2020
1;2.0;20.0;0.47619047619047616;2020
1;2.0;21.0;0.5462962962962963;2020
1;2.0;22.0;0.4126984126984127;2020
1;2.0;23.0;0.19047619047619047;2020
1;2.0;24.0;0.5873015873015873;2020
1;2.0;25.0;0.47;2020
1;2.0;26.0;0.5396825396825397;2020
1;2.0;27.0;0.5714285714285714;2020
1;2.0;28.0;0.4603174603174603;2020
1;2.0;29.0;0.5079365079365079;2020
1;2.0;30.0;0.14285714285714285;2020
1;2.0;31.0;0.2222222222222222;2020
1;2.0;32.0;0.36507936507936506;2020
1;2.0;33.0;0.4603174603174603;2020
1;2.0;34.0;0.5714285714285714;2020
1;2.0;35.0;0.30158730158730157;2020
1;2.0;36.0;0.2698412698412698;2020
