iso2_code;topic;exit01;consider00;pci;ubiquity;rca01;density
BR;android;0;1;0.8951118011312261;15.0;0.0;0.3991221977987411
BR;aws;0;1;1.6961434062561858;6.0;0.0;0.3299923569174146
BR;blog;0;1;1.3622699444585942;6.0;0.0;0.3527708902198921
BR;cli;0;1;1.49881328546626;10.0;0.0;0.3555540323004278
BR;cpp;0;1;1.338651086548309;11.0;0.0;0.3923462879308819
BR;database;0;1;1.933826714834968;8.0;0.0;0.3583328289267874
BR;deep-learning;0;1;1.565448478980257;8.0;0.0;0.3703356778304392
BR;docker;0;1;0.5246458397759414;17.0;0.0;0.3832060131466586
BR;dotfiles;0;1;1.288747017306942;11.0;0.0;0.3495355411451679
BR;go;0;1;1.434461103579715;12.0;0.0;0.3465516328566296
BR;golang;0;1;0.7944268886914333;13.0;0.0;0.3540876424393439
BR;ios;0;1;1.5652689613355586;11.0;0.0;0.3492702261533276
BR;java;0;1;-0.6917789569573093;29.0;0.0;0.4325991933843374
BR;kotlin;0;1;1.3411051188764536;11.0;0.0;0.3797596429227342
BR;kubernetes;0;1;1.1952355297207524;11.0;0.0;0.3525804791070447
BR;library;0;1;1.762578761600589;8.0;0.0;0.3582990545702784
BR;linux;0;1;0.9332024743886762;14.0;0.0;0.3771088330588377
BR;machine-learning;0;1;0.6746105845010835;12.0;0.0;0.3816389072050925
BR;python;0;1;-1.058557060026412;34.0;0.0;0.4795025333947489
BR;python3;0;1;0.5953339530291253;14.0;0.0;0.4330589630891699
BR;vue;0;1;0.7799435563646586;9.0;0.0;0.3621804926906569
BR;website;0;1;1.1739374663358244;9.0;0.0;0.3953624206100927
CN;css;0;1;0.1237724790858936;17.0;0.0;0.3596438489766457
CN;html;0;1;0.4173988683266727;16.0;0.0;0.3930434247578797
CN;javascript;0;1;-0.9535962940310204;40.0;0.0;0.3679727427597957
CN;nodejs;0;1;-0.4472776173833576;23.0;0.0;0.3803303659589281
CN;python;0;1;-1.058557060026412;34.0;0.0;0.3800092123445416
CN;python3;1;0;0.5953339530291253;14.0;1.0;0.4368193205792229
CN;react;0;1;-0.7617940400737756;33.0;0.0;0.3774815341789481
DE;css;0;1;0.1237724790858936;17.0;0.0;0.4342011342342625
DE;express;0;1;1.6906209790466364;5.0;0.0;0.4558976612907522
DE;firebase;0;1;1.5158107597399606;6.0;0.0;0.4834463499878619
DE;html;0;1;0.4173988683266727;16.0;0.0;0.4739573036990526
DE;html5;0;1;1.2889061604750314;5.0;0.0;0.3599919128177643
DE;javascript;0;1;-0.9535962940310204;40.0;0.0;0.4327086882453154
DE;mongodb;0;1;1.4295567306727086;9.0;0.0;0.5393018949273775
DE;nodejs;0;1;-0.4472776173833576;23.0;0.0;0.4501835735962853
DE;portfolio;0;1;2.2073921250636195;5.0;0.0;0.4668410202625565
DE;react;0;1;-0.7617940400737756;33.0;0.0;0.4489464848244772
DE;reactjs;0;1;0.1524751273135341;13.0;0.0;0.4218201316233576
DE;redux;0;1;1.4716416243451789;9.0;0.0;0.538790543897685
FR;css;0;1;0.1237724790858936;17.0;0.0;0.4117977382221753
FR;html;0;1;0.4173988683266727;16.0;0.0;0.4482009788380646
FR;html5;0;1;1.2889061604750314;5.0;0.0;0.3881729183607931
FR;react;0;1;-0.7617940400737756;33.0;0.0;0.3848112727066947
FR;reactjs;0;1;0.1524751273135341;13.0;0.0;0.4119277659249793
GB;angular;0;1;1.500881630494295;9.0;0.0;0.6501453482125349
GB;html5;0;1;1.2889061604750314;5.0;0.0;0.4516059943420161
GB;java;0;1;-0.6917789569573093;29.0;0.0;0.5049085267715493
GB;mongodb;0;1;1.4295567306727086;9.0;0.0;0.5849992013072337
GB;reactjs;0;1;0.1524751273135341;13.0;0.0;0.4691030602786215
GB;vue;0;1;0.7799435563646586;9.0;0.0;0.6095528992124295
ID;java;0;1;-0.6917789569573093;29.0;0.0;0.3497279979575164
ID;python;0;1;-1.058557060026412;34.0;0.0;0.4288346384154767
ID;react;0;1;-0.7617940400737756;33.0;0.0;0.3785351840923114
IN;ansible;0;1;2.4650162040765617;4.0;0.0;0.256383975407039
IN;api;0;1;0.9643411438861216;14.0;0.0;0.3289888246477207
IN;aws;0;1;1.6961434062561858;6.0;0.0;0.2846863777271638
IN;azure;0;1;2.5391399208934575;3.0;0.0;0.2660067210792669
IN;bash;0;1;2.4650162040765617;4.0;0.0;0.256383975407039
IN;blockchain;0;1;1.8269076720489783;7.0;0.0;0.2980414717744051
IN;blog;0;1;1.3622699444585942;6.0;0.0;0.285112638774189
IN;bot;0;1;1.8377547548619129;8.0;0.0;0.3164675321547763
IN;cli;0;1;1.49881328546626;10.0;0.0;0.2799071031693896
IN;cloud;0;1;2.4650162040765617;4.0;0.0;0.256383975407039
IN;csharp;0;1;1.4589214284923309;11.0;0.0;0.3260427016162197
IN;database;0;1;1.933826714834968;8.0;0.0;0.2876392276238184
IN;discord;0;1;1.7209242909927889;8.0;0.0;0.3143335027026538
IN;discord-bot;0;1;2.2089782535101388;6.0;0.0;0.3250331659952349
IN;docker;0;1;0.5246458397759414;17.0;0.0;0.2842834024246553
IN;documentation;0;1;1.6593987999056845;8.0;0.0;0.2926647119146385
IN;dotfiles;0;1;1.288747017306942;11.0;0.0;0.2743089704792914
IN;game;0;1;1.6470012746125433;10.0;0.0;0.3194329748370739
IN;git;0;1;1.9145124305460368;8.0;0.0;0.302194342893709
IN;go;0;1;1.434461103579715;12.0;0.0;0.2843351050014749
IN;golang;0;1;0.7944268886914333;13.0;0.0;0.2848345898568604
IN;graphql;0;1;2.2089782535101388;6.0;0.0;0.3250331659952349
IN;ios;0;1;1.5652689613355586;11.0;0.0;0.2910625332026674
IN;iot;0;1;2.4687407065973708;3.0;0.0;0.308091836244017
IN;java;0;1;-0.6917789569573093;29.0;0.0;0.2979491133243119
IN;javascript;0;1;-0.9535962940310204;40.0;0.0;0.3407155025553664
IN;kotlin;0;1;1.3411051188764536;11.0;0.0;0.3049610666166975
