iso2_code;cluster_id;entry01;consider00;pci;ubiquity;rca01;density
AE;1.0;0;1;-2.1965966891388464;33.0;0.0;0.1143140606675041
AE;2.0;0;1;0.6857744079889588;12.0;0.0;0.0217519093977931
AE;3.0;0;1;0.7833126064179957;10.0;0.0;0.0182417315811291
AE;10.0;0;1;-0.7677834872566762;19.0;0.0;0.1380603701330848
AE;11.0;0;1;-0.9053943017322462;38.0;0.0;0.2704100651191472
AE;16.0;0;1;1.166622882986038;8.0;0.0;0.017047640231635
AE;19.0;0;1;-0.1315802239610624;49.0;0.0;0.4530184051257822
AL;10.0;0;1;-0.7677834872566762;19.0;0.0;0.1585774893749227
AL;11.0;0;1;-0.9053943017322462;38.0;0.0;0.3273495937412295
AM;1.0;0;1;-2.1965966891388464;33.0;0.0;0.1188583496274834
AM;2.0;0;1;0.6857744079889588;12.0;0.0;0.0237384800889753
AM;5.0;0;1;0.1017500727985483;33.0;0.0;0.2964447576187717
AM;10.0;0;1;-0.7677834872566762;19.0;0.0;0.1188794940418692
AM;11.0;0;1;-0.9053943017322462;38.0;0.0;0.2428880992509977
AM;16.0;0;1;1.166622882986038;8.0;0.0;0.0118699590548692
AR;2.0;0;1;0.6857744079889588;12.0;0.0;0.1031545755316123
AR;3.0;0;1;0.7833126064179957;10.0;0.0;0.112365633019245
AR;4.0;0;1;1.265956554326927;18.0;0.0;0.1478473059778098
AR;5.0;0;1;0.1017500727985483;33.0;0.0;0.3951158148097862
AR;9.0;0;1;1.1350545013133064;19.0;0.0;0.1897730271764991
AR;10.0;0;1;-0.7677834872566762;19.0;0.0;0.1657768939088855
AR;11.0;0;1;-0.9053943017322462;38.0;0.0;0.2839782653724574
AR;12.0;0;1;1.1904149973858782;13.0;0.0;0.1293113692886243
AR;14.0;0;1;1.1620684754184163;14.0;0.0;0.1494667500276862
AR;16.0;0;1;1.166622882986038;8.0;0.0;0.1407211617873681
AR;21.0;0;1;-0.114908452168559;50.0;0.0;0.3876396666821479
AR;22.0;0;1;1.1515011687997532;18.0;0.0;0.1923899927486281
AR;24.0;0;1;1.02771884270935;29.0;0.0;0.2200465353280969
AR;25.0;0;1;-2.851588946771374e-05;80.0;0.0;0.5008605851979346
AR;27.0;0;1;0.8315979590923113;26.0;0.0;0.23039251923607
AR;29.0;0;1;1.1796616803860769;21.0;0.0;0.1842388799795793
AR;34.0;0;1;1.176690018020767;19.0;0.0;0.1703425544574886
AR;39.0;0;1;1.18661736077012;20.0;0.0;0.1741815637424222
AR;40.0;0;1;0.60027623407388;12.0;0.0;0.248398557777405
AR;41.0;0;1;1.1557488824238515;29.0;0.0;0.2053305872404091
AR;42.0;0;1;1.1106494705617524;23.0;0.0;0.192036720870052
AR;45.0;0;1;1.1820480417872556;18.0;0.0;0.1585117333417194
AT;1.0;0;1;-2.1965966891388464;33.0;0.0;0.1453253601094592
AT;2.0;0;1;0.6857744079889588;12.0;0.0;0.3221586809562236
AT;3.0;0;1;0.7833126064179957;10.0;0.0;0.3911889172271074
AT;4.0;0;1;1.265956554326927;18.0;0.0;0.4585789246981755
AT;5.0;0;1;0.1017500727985483;33.0;0.0;0.2367188958102204
AT;8.0;0;1;-0.0585876741607944;80.0;0.0;0.2439446366782007
AT;10.0;0;1;-0.7677834872566762;19.0;0.0;0.1376249839512603
AT;11.0;0;1;-0.9053943017322462;38.0;0.0;0.1336823806767588
AT;19.0;0;1;-0.1315802239610624;49.0;0.0;0.2009538499173351
AT;25.0;0;1;-2.851588946771374e-05;80.0;0.0;0.2977624784853701
AT;38.0;0;1;0.7834461732581935;25.0;0.0;0.5470594473931569
AT;40.0;0;1;0.60027623407388;12.0;0.0;0.3382695310011433
AU;1.0;0;1;-2.1965966891388464;33.0;0.0;0.0607724233185011
AU;2.0;0;1;0.6857744079889588;12.0;0.0;0.4141295397918876
AU;3.0;0;1;0.7833126064179957;10.0;0.0;0.4210537956675626
AU;5.0;0;1;0.1017500727985483;33.0;0.0;0.1714404980152264
AU;8.0;0;1;-0.0585876741607944;80.0;0.0;0.1245674740484428
AU;9.0;1;0;1.1350545013133064;19.0;1.0;0.4442388540922598
AU;10.0;0;1;-0.7677834872566762;19.0;0.0;0.1165496180078543
AU;11.0;0;1;-0.9053943017322462;38.0;0.0;0.1111335453818838
AU;14.0;0;1;1.1620684754184163;14.0;0.0;0.4116895617276078
AU;15.0;0;1;0.2167324806246045;56.0;0.0;0.1607446479299302
AU;17.0;0;1;0.6591238368633976;35.0;0.0;0.3333656089360991
AU;18.0;0;1;0.3751752320370706;69.0;0.0;0.2503306077595038
AU;19.0;0;1;-0.1315802239610624;49.0;0.0;0.0738257367314895
AU;21.0;0;1;-0.114908452168559;50.0;0.0;0.1385288157634215
AU;25.0;0;1;-2.851588946771374e-05;80.0;0.0;0.1135972461273666
AU;32.0;0;1;1.3371071495816034;14.0;0.0;0.5046162243761914
AU;34.0;0;1;1.176690018020767;19.0;0.0;0.4438425542867595
AU;38.0;0;1;0.7834461732581935;25.0;0.0;0.3411864858630434
AU;40.0;0;1;0.60027623407388;12.0;0.0;0.2994338762635902
AU;51.0;0;1;1.307582550158649;12.0;0.0;0.4612538163867471
AU;54.0;0;1;0.722518437210377;33.0;0.0;0.3383962277323916
AU;57.0;0;1;0.99968770947611;18.0;0.0;0.4766048255819438
AZ;1.0;1;0;-2.1965966891388464;33.0;1.0;0.120577341029921
AZ;10.0;0;1;-0.7677834872566762;19.0;0.0;0.1585774893749227
AZ;11.0;0;1;-0.9053943017322462;38.0;0.0;0.3154424281645991
BA;1.0;0;1;-2.1965966891388464;33.0;0.0;0.1188583496274834
BA;2.0;0;1;0.6857744079889588;12.0;0.0;0.0237384800889753
BA;3.0;0;1;0.7833126064179957;10.0;0.0;0.0174790716987447
BA;10.0;0;1;-0.7677834872566762;19.0;0.0;0.1188794940418692
BA;11.0;0;1;-0.9053943017322462;38.0;0.0;0.2428880992509977
BA;21.0;0;1;-0.114908452168559;50.0;0.0;0.3860654755939271
BD;2.0;0;1;0.6857744079889588;12.0;0.0;0.0289624252398617
BD;3.0;0;1;0.7833126064179957;10.0;0.0;0.0273624787849036
BD;5.0;1;0;0.1017500727985483;33.0;1.0;0.3489901570104515
BD;9.0;0;1;1.1350545013133064;19.0;0.0;0.0794739128789791
BD;10.0;0;1;-0.7677834872566762;19.0;0.0;0.0920283718340895
BD;11.0;0;1;-0.9053943017322462;38.0;0.0;0.1567029007915776
BD;16.0;0;1;1.166622882986038;8.0;0.0;0.051580367529341
BD;19.0;0;1;-0.1315802239610624;49.0;0.0;0.3978504454955237
BD;21.0;0;1;-0.114908452168559;50.0;0.0;0.3451365073001889
BD;24.0;0;1;1.02771884270935;29.0;0.0;0.1105603402767505
BD;26.0;0;1;0.9948344107655204;26.0;0.0;0.1119037698472925
BD;27.0;0;1;0.8315979590923113;26.0;0.0;0.1214890199346091
BD;29.0;0;1;1.1796616803860769;21.0;0.0;0.0671559373275466
BD;34.0;0;1;1.176690018020767;19.0;0.0;0.0612753077291589
BD;38.0;0;1;0.7834461732581935;25.0;0.0;0.2004331437474314
BE;1.0;0;1;-2.1965966891388464;33.0;0.0;0.2290176687937951
BE;2.0;0;1;0.6857744079889588;12.0;0.0;0.3449505503056108
BE;3.0;0;1;0.7833126064179957;10.0;0.0;0.3647372177822534
BE;4.0;0;1;1.265956554326927;18.0;0.0;0.5303313924566473
BE;5.0;0;1;0.1017500727985483;33.0;0.0;0.327856961421778
