iso2_code;cluster_name;num_pushers;period;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca;year
AE;Batch/High-Level Tools;0.0;1;7;29;0;-0.15650359933012006;2.063356409533316;0.08244319977543843;-0.03711416218691093;1.144809352363814;0.0;2020
AE;Concurrency-Oriented;0.0;1;7;20;0;-0.15650359933012006;2.024662047859878;0.07996640128658411;-0.03711416218691093;1.106217027068183;0.0;2020
AE;Cross-Platform Build Systems;0.0;1;7;35;0;-0.15650359933012006;1.6756735820743913;0.10629796036876121;-0.03711416218691093;0.9080920854167801;0.0;2020
AE;Data/Document DSLs;0.0;1;7;32;0;-0.15650359933012006;1.8574104985380318;0.08642699586338483;-0.03711416218691093;1.0119811282270295;0.0;2020
AE;Database Scripting;143.0;1;7;48;1;-0.15650359933012006;-0.42014863878726394;0.3116661397511006;-0.03711416218691093;0.0;1.021918572384374;2020
AE;Debugging/Testing Tools;0.0;1;7;20;0;-0.15650359933012006;2.271994959243408;0.08099020900552324;-0.03711416218691093;1.2169857396433035;0.0;2020
AE;Desktop Automation;0.0;1;7;19;0;-0.15650359933012006;2.268219095786303;0.07499708747126099;-0.03711416218691093;1.1866028555890975;0.0;2020
AE;Dynamic General Purpose;916.35;1;7;99;1;-0.15650359933012006;-1.2074657060732699;0.5390783821004872;-0.03711416218691093;-0.0;1.5942350071248348;2020
AE;Dynamic OOP Scripting;0.0;1;7;48;0;-0.15650359933012006;-0.4122572806689877;0.28974008098425236;-0.03711416218691093;-0.08618053043994978;0.0;2020
AE;Enterprise OOP;0.0;1;7;37;0;-0.15650359933012006;0.6547672714360266;0.15071244193565633;-0.03711416218691093;0.35091698205104527;0.0;2020
AE;Event Scripting;0.0;1;7;11;0;-0.15650359933012006;2.444536615566927;0.0704501320796331;-0.03711416218691093;0.8960064442982263;0.0;2020
AE;Functional JVM;0.0;1;7;32;0;-0.15650359933012006;2.072695561823899;0.08701077434584302;-0.03711416218691093;1.1573445352017973;0.0;2020
AE;Functional Lisp;0.0;1;7;25;0;-0.15650359933012006;2.2710618651959282;0.08172019141161846;-0.03711416218691093;1.1636038364431505;0.0;2020
AE;Game Scripting;0.0;1;7;14;0;-0.15650359933012006;2.247601433928509;0.06792894958678901;-0.03711416218691093;0.9431545112260845;0.0;2020
AE;Graphics/Hardware Languages;0.0;1;7;35;0;-0.15650359933012006;1.6583031646204733;0.10401216763698179;-0.03711416218691093;0.9072964762606506;0.0;2020
AE;HTML-Centric Templating;0.0;1;7;51;0;-0.15650359933012006;-0.3300974919836952;0.28234862508230346;-0.03711416218691093;-0.10078239824569292;0.0;2020
AE;Installer & Scripting Utilities;0.0;1;7;20;0;-0.15650359933012006;2.3709274578314825;0.06947754216045933;-0.03711416218691093;1.2389775015739282;0.0;2020
AE;Interactive Tools;442.5;1;7;25;1;-0.15650359933012006;1.155325395950293;0.15494450245302174;-0.03711416218691093;0.0;1.1478806485796695;2020
AE;JavaScript-Based Templating;125.0;1;7;52;0;-0.15650359933012006;-0.41183568042249014;0.29617111357867126;-0.03711416218691093;-0.05845646270114007;0.94479323808278;2020
AE;Logic Programming;0.0;1;7;19;0;-0.15650359933012006;2.0814849049538844;0.0797123771266132;-0.03711416218691093;1.1040483460305035;0.0;2020
AE;Low-Level C-Based;233.25;1;7;38;0;-0.15650359933012006;1.378051715365754;0.1166475525102907;-0.03711416218691093;0.7060150059333722;0.7003513667594398;2020
AE;Low-Level Hardware;0.0;1;7;38;0;-0.15650359933012006;1.8984509317220126;0.09594873726386123;-0.03711416218691093;1.0488750630309525;0.0;2020
AE;Low-Level Languages;0.0;1;7;17;0;-0.15650359933012006;2.2752759337772477;0.07526091705659235;-0.03711416218691093;1.1176516272302996;0.0;2020
AE;Low-Level Utilities;0.0;1;7;32;0;-0.15650359933012006;1.973299234045903;0.08764798111347955;-0.03711416218691093;1.0792854899439221;0.0;2020
AE;Modern Contract/Typed;201.75;1;7;49;1;-0.15650359933012006;0.017495420655328837;0.2657668653673385;-0.03711416218691093;0.0;1.7230842993693642;2020
AE;OOP System Programming;260.125;1;7;33;0;-0.15650359933012006;0.9641633338453999;0.1277070434924303;-0.03711416218691093;0.6458960230148927;0.7494881882791906;2020
AE;Pascal-Based Systems;0.0;1;7;22;0;-0.15650359933012006;2.1680982060981715;0.08109559476547296;-0.03711416218691093;1.143168711898154;0.0;2020
AE;Popular JVM OOP;364.2142857142857;1;7;69;0;-0.15650359933012006;-0.35481833607320346;0.29634718355785966;-0.03711416218691093;0.0401519686491319;0.8676836405431627;2020
AE;Pure Functional;0.0;1;7;28;0;-0.15650359933012006;2.077565310264836;0.08312676959849823;-0.03711416218691093;1.157623784601555;0.0;2020
AE;Scientific Tools;0.0;1;7;34;0;-0.15650359933012006;1.1819372675062847;0.11444709331071802;-0.03711416218691093;0.5562032917351087;0.0;2020
AE;Shell Scripting;634.375;1;7;107;1;-0.15650359933012006;-0.4634330858914763;0.37080284526935736;-0.03711416218691093;0.0;1.565675056730248;2020
AE;Specialized Tools;0.0;1;7;25;0;-0.15650359933012006;2.2122205772561934;0.08111918095675313;-0.03711416218691093;1.1762218098346016;0.0;2020
AE;Strongly Typed Systems;125.0;1;7;43;1;-0.15650359933012006;1.0792405680470785;0.1801238141154433;-0.03711416218691093;0.0;1.2713585250120572;2020
AE;Text Parsing DSLs;0.0;1;7;31;0;-0.15650359933012006;2.073024704716692;0.08444545703467979;-0.03711416218691093;1.1545544028166927;0.0;2020
