period;cluster_id_1;cluster_id_2;proximity;year
1;1.0;1.0;1.0;2020
1;1.0;2.0;0.058823529411764705;2020
1;1.0;3.0;0.023529411764705882;2020
1;1.0;4.0;0.08235294117647059;2020
1;1.0;5.0;0.3176470588235294;2020
1;1.0;6.0;0.023529411764705882;2020
1;1.0;7.0;0.023529411764705882;2020
1;1.0;8.0;0.5955056179775281;2020
1;1.0;9.0;0.058823529411764705;2020
1;1.0;10.0;0.2823529411764706;2020
1;1.0;11.0;0.3764705882352941;2020
1;1.0;12.0;0.0;2020
1;1.0;13.0;0.023529411764705882;2020
1;1.0;14.0;0.023529411764705882;2020
1;1.0;15.0;0.4;2020
1;1.0;16.0;0.023529411764705882;2020
1;1.0;17.0;0.17647058823529413;2020
1;1.0;18.0;0.4235294117647059;2020
1;1.0;19.0;0.5411764705882353;2020
1;1.0;20.0;0.07058823529411765;2020
1;1.0;21.0;0.4588235294117647;2020
1;1.0;22.0;0.08235294117647059;2020
1;1.0;23.0;0.023529411764705882;2020
1;1.0;24.0;0.03529411764705882;2020
1;1.0;25.0;0.5681818181818182;2020
1;1.0;26.0;0.08235294117647059;2020
1;1.0;27.0;0.08235294117647059;2020
1;1.0;28.0;0.03529411764705882;2020
1;1.0;29.0;0.011764705882352941;2020
1;1.0;30.0;0.0;2020
1;1.0;31.0;0.047058823529411764;2020
1;1.0;32.0;0.03529411764705882;2020
1;1.0;33.0;0.011764705882352941;2020
1;1.0;34.0;0.023529411764705882;2020
1;1.0;35.0;0.03529411764705882;2020
1;1.0;36.0;0.058823529411764705;2020
1;1.0;37.0;0.03529411764705882;2020
1;1.0;38.0;0.2;2020
1;1.0;39.0;0.023529411764705882;2020
1;1.0;40.0;0.12941176470588237;2020
1;1.0;41.0;0.07058823529411765;2020
1;1.0;42.0;0.023529411764705882;2020
1;1.0;43.0;0.0;2020
1;1.0;44.0;0.058823529411764705;2020
1;1.0;45.0;0.023529411764705882;2020
1;1.0;46.0;0.023529411764705882;2020
1;1.0;47.0;0.03529411764705882;2020
1;1.0;48.0;0.03529411764705882;2020
1;1.0;50.0;0.1411764705882353;2020
1;1.0;51.0;0.023529411764705882;2020
1;1.0;52.0;0.047058823529411764;2020
1;1.0;53.0;0.0;2020
1;1.0;54.0;0.18823529411764706;2020
1;1.0;55.0;0.023529411764705882;2020
1;1.0;56.0;0.023529411764705882;2020
1;1.0;57.0;0.07058823529411765;2020
1;1.0;59.0;0.047058823529411764;2020
1;2.0;1.0;0.058823529411764705;2020
1;2.0;2.0;1.0;2020
1;2.0;3.0;0.7631578947368421;2020
1;2.0;4.0;0.4166666666666667;2020
1;2.0;5.0;0.18;2020
1;2.0;6.0;0.2222222222222222;2020
1;2.0;7.0;0.5;2020
1;2.0;8.0;0.1797752808988764;2020
1;2.0;9.0;0.5277777777777778;2020
1;2.0;10.0;0.35555555555555557;2020
1;2.0;11.0;0.3142857142857143;2020
1;2.0;12.0;0.4722222222222222;2020
1;2.0;13.0;0.3055555555555556;2020
1;2.0;14.0;0.5833333333333334;2020
1;2.0;15.0;0.203125;2020
1;2.0;16.0;0.6388888888888888;2020
1;2.0;17.0;0.19444444444444445;2020
1;2.0;18.0;0.28205128205128205;2020
1;2.0;19.0;0.22784810126582278;2020
1;2.0;20.0;0.4722222222222222;2020
1;2.0;21.0;0.20253164556962025;2020
1;2.0;22.0;0.3888888888888889;2020
1;2.0;23.0;0.3055555555555556;2020
1;2.0;24.0;0.525;2020
1;2.0;25.0;0.2159090909090909;2020
1;2.0;26.0;0.5405405405405406;2020
1;2.0;27.0;0.4358974358974359;2020
1;2.0;28.0;0.4444444444444444;2020
1;2.0;29.0;0.5555555555555556;2020
1;2.0;30.0;0.2222222222222222;2020
1;2.0;31.0;0.2777777777777778;2020
1;2.0;32.0;0.4166666666666667;2020
1;2.0;33.0;0.5555555555555556;2020
1;2.0;34.0;0.6111111111111112;2020
1;2.0;35.0;0.4444444444444444;2020
1;2.0;36.0;0.3055555555555556;2020
1;2.0;37.0;0.25;2020
1;2.0;38.0;0.3055555555555556;2020
1;2.0;39.0;0.5;2020
1;2.0;40.0;0.3055555555555556;2020
1;2.0;41.0;0.5833333333333334;2020
1;2.0;42.0;0.5833333333333334;2020
1;2.0;43.0;0.4444444444444444;2020
1;2.0;44.0;0.3055555555555556;2020
1;2.0;45.0;0.5555555555555556;2020
1;2.0;46.0;0.3333333333333333;2020
1;2.0;47.0;0.2777777777777778;2020
1;2.0;48.0;0.08333333333333333;2020
1;2.0;50.0;0.3333333333333333;2020
1;2.0;51.0;0.3888888888888889;2020
1;2.0;52.0;0.3611111111111111;2020
1;2.0;53.0;0.2777777777777778;2020
1;2.0;54.0;0.30952380952380953;2020
1;2.0;55.0;0.3333333333333333;2020
1;2.0;56.0;0.25;2020
1;2.0;57.0;0.3333333333333333;2020
1;2.0;59.0;0.4166666666666667;2020
1;3.0;1.0;0.023529411764705882;2020
1;3.0;2.0;0.7631578947368421;2020
1;3.0;3.0;1.0;2020
1;3.0;4.0;0.5526315789473685;2020
1;3.0;5.0;0.22;2020
1;3.0;6.0;0.23684210526315788;2020
1;3.0;7.0;0.6052631578947368;2020
1;3.0;8.0;0.16853932584269662;2020
1;3.0;9.0;0.6052631578947368;2020
1;3.0;10.0;0.3333333333333333;2020
1;3.0;11.0;0.35714285714285715;2020
1;3.0;12.0;0.5;2020
1;3.0;13.0;0.34210526315789475;2020
1;3.0;14.0;0.631578947368421;2020
1;3.0;15.0;0.203125;2020
1;3.0;16.0;0.631578947368421;2020
1;3.0;17.0;0.23684210526315788;2020
1;3.0;18.0;0.28205128205128205;2020
1;3.0;19.0;0.21518987341772153;2020
1;3.0;20.0;0.5;2020
1;3.0;21.0;0.24050632911392406;2020
1;3.0;22.0;0.47368421052631576;2020
1;3.0;23.0;0.3157894736842105;2020
1;3.0;24.0;0.675;2020
1;3.0;25.0;0.18181818181818182;2020
1;3.0;26.0;0.631578947368421;2020
1;3.0;27.0;0.5641025641025641;2020
1;3.0;28.0;0.5526315789473685;2020
1;3.0;29.0;0.6578947368421053;2020
1;3.0;30.0;0.23684210526315788;2020
1;3.0;31.0;0.3157894736842105;2020
