"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Country","Country ID"
,,,,,,,,,,,,,,,,,,,,,,,,,"Afghanistan","asafg"
,,,,,,,,,,,,,,,,,,,-0.7273449973,-0.744802082,-0.9393101448000001,-1.0219579109999999,,,"Albania","eualb"
,,,,-0.9332174795999999,-1.016065085,-0.7769770916,-1.281636923,-0.3888774654,-0.08386498470999999,-0.3378369657,-0.29300728460000003,-0.8891303601999999,-0.8789250937,-1.319095887,-1.228095775,-1.2312776890000001,-1.070961574,-0.882856758,-0.5612997074,-0.4600733146,-0.5764590609,-0.4669417586,-0.8541648324,,"Algeria","afdza"
,,,,,,,,,,,,,,,,,,,,-1.353261221,,,,,"Angola","afago"
,-0.6513571175999999,0.03763175461,0.01191628408,-0.1639090828,0.04816767532,-0.17955793,-0.1955487511,0.13943633,0.2392741484,0.14814619310000002,-0.0036764986320000003,0.1893604538,0.09690059752,0.1135311008,0.02607897164,0.1279655702,0.2181464584,0.16852609059999998,0.313030013,0.2719962635,0.2840749978,0.1834697093,-0.10094984720000001,,"Argentina","saarg"
,,-1.5338854469999998,-1.027775204,-1.1294842040000002,-0.9461966369,-0.9128919728,-1.055268901,-0.9416591711,-0.9042129518,-0.9099850106999999,-0.7727920326000001,-1.250846404,-0.7547135054,-0.7332425520999999,-0.2848151022,-0.542049805,-0.7166629554,-0.5142571087,-0.6250955525999999,-0.5021128804,-0.6047596868999999,-0.6565366434000001,-0.7252210581,,"Armenia","asarm"
,1.08342017,1.073813299,1.166631556,1.202295528,1.276352225,1.305029293,1.28444917,1.2469568659999999,1.231034611,1.271104996,1.261471216,1.339218159,1.303052903,1.333572458,1.278564198,1.271023161,1.208614576,1.158100076,1.174210056,1.1800513000000001,1.110759454,1.146030023,1.105872742,,"Australia","ocaus"
,1.108638016,1.162747039,1.188131744,1.228059727,1.191054962,1.29735667,1.315388928,1.351066584,1.4144199030000002,1.339733283,1.3355323620000001,1.320512851,1.199400945,1.289637266,1.378819592,1.4555213340000002,1.454127919,1.448645675,1.5324200959999998,1.510326012,1.505705351,1.493996074,1.4964340090000001,,"Austria","euaut"
,,,,,,,-1.5023017280000002,-1.298989706,-0.8575853022,-0.9915560714,-0.9394435793000001,-1.056759265,-0.9299082414000001,-1.346004121,-0.7691220131000001,-0.4436972244,-0.4023507261,-0.5188457972,-1.0261395759999998,-0.9953160333,-0.6918386304,-0.7597193173000001,-1.081541347,,"Azerbaijan","asaze"
,,,,,,-2.2695196230000003,-2.302244151,-2.046230408,-2.488082721,,,,-1.869763515,-1.6898054869999999,-1.3274774740000002,-1.293013107,-1.4830258019999998,-1.322734722,-1.519600694,-1.526599585,-1.3786581009999999,-1.437971977,-1.350677528,,"Bangladesh","asbgd"
,0.11897725769999999,-0.08301306682,-0.14080192,-0.30482035690000003,-0.2347399036,-0.08204075586,-0.11943220560000001,-0.08421741463,-0.215649559,-0.1081486474,-0.2136198042,-0.3588188657,-0.1629531942,-0.2500957399,-0.21713426309999997,-0.2956556817,-0.196188378,-0.2840335779,0.06336328186000001,-0.001805033927,0.03703338185,-0.3226022119,-0.6168507104,,"Belarus","eublr"
,0.7258346479000001,0.6651218757999999,0.5891446277,0.5575602848,0.5968464589,0.6235563090999999,0.8201389199,0.9013622195000001,0.8826149126,0.7886051545,0.7024543391,0.7845209936,0.9378268453,0.8032367870999999,0.9442969909000001,1.030144405,1.007879914,1.160948935,1.122152985,1.136065447,1.047057968,1.0233459870000001,1.0805026000000002,,"Belgium","eubel"
,,,,,,,,,,,,,,,,,,,,,,,,,"Benin","afben"
,,,,,,,,,,,,,,,,-1.824661376,-1.651454024,,,,,,,,"Bolivia","sabol"
,,,,,-0.22370898949999998,-0.38311958960000003,-0.2221457449,-0.056683835989999994,0.07846499731,0.1758334861,-0.08005126703,-0.02578214755,-0.001871862674,-0.03815937742,-0.07236718412000001,-0.1399678613,-0.4638498406,-0.758301714,-0.8904064101000001,-0.7255257085,-0.41424438399999997,-0.300841156,-0.07173479982999999,,"Bosnia and Herzegovina","eubih"
,,,,,,,,,,,,,,,,-2.746002173,,,,,,,,,"Botswana","afbwa"
,0.7841026823,0.8063755536,0.8831678928,0.8655266079,0.9337075064,0.9119997301,1.0377217109999999,1.0472023540000002,0.9889477811,0.9657522989,0.8250081293000001,0.9953482628,1.0115759020000001,0.9807802609,1.0685269370000001,1.018319122,1.069050219,1.1712702940000002,1.189172049,1.148527436,1.1884879259999999,1.180880384,1.149055479,,"Brazil","sabra"
,0.22058580739999997,0.3661939418,0.5196282555,0.4334565703,0.2321293285,0.1826038984,0.1635172972,0.06517120378999999,0.3066627135,0.2317569581,0.2337242662,0.2763105034,0.1782062205,0.21690489420000003,0.27580095670000004,0.3228292068,0.327775315,0.23248619760000003,0.3675192785,0.4835362887,0.5297602026,0.5726929786,0.3390313197,,"Bulgaria","eubgr"
,,,,,,,,,,,,,,,,,,,,,,,,,"Burkina Faso","afbfa"
,,,,,,,,,,,,,,,,,,,,,,,,,"Burma","asmmr"
,,,,,,,,,,,,,,,,,,,-2.362856097,-2.447009079,-2.581595632,-2.651474175,,,"Cambodia","askhm"
,,,,,,,,-1.842132516,-1.8413258319999999,-1.954702401,-1.706086716,-1.217947394,-1.1575450090000001,-1.112645838,-1.5544356609999999,,,-1.16342952,-1.209336844,-1.6058462669999998,-2.7367453939999997,,,,"Cameroon","afcmr"
