iso2_code;year;developers;software_eci_2020;trade_eci_2020;tech_eci_2020;research_eci_2020;iso3_code;pop_o;gdp_o;gdpcap_o;gdp_ppp_o;gdpcap_ppp_o;gini_mean;country;emissions;nat_res
TC;2020;253;;;;;TCA;38.718;924583.0;23.88;862791.054;22.284;;;;
TD;2020;349;;;;;TCD;16425.859;10715396.135;0.652;26144546.217;1.592;40.4;;;
TG;2020;5970;-1.1861853562855649;-0.8816555899;;-1.377008374;TGO;8278.737;7574636.979;0.915;18406256.349;2.223;43.86666666666667;;;
TH;2020;344349;0.0053364717097675;0.905680503;0.6979016705;-0.01698117858;THA;69799.98;499681757.031;7.159;1270215980.191;18.198;37.169999999999995;THA;5.838323482;7.042712795
TJ;2020;3090;-1.1861853562855649;;;;TJK;9537.642;8133996.648;0.853;36759888.57;3.854;34.0;;;
TL;2020;475;;;;;TLS;1318.442;1902156.8;1.443;5459609.085;4.141;28.7;;;
TM;2020;1894;;-0.5647247141;;;TKM;6031.187;;;;;;;;
TN;2020;100299;-0.0146089015345151;0.0976804331;-1.039005974;-0.4790240944;TUN;11818.618;42514151.614;3.597;128572655.62;10.879;34.3;TUN;5.783893219;5.885927783
TO;2020;152;;;;;TON;105.697;488829.964;4.625;707513.061;6.694;33.5;;;
TR;2020;572726;0.1741638303485702;0.597472882;1.14667553;0.8097008274;TUR;84339.066;719954821.683;8.536;2297010403.918;27.235;41.03999999999999;TUR;5.356069769;6.791358223
TT;2020;10293;-0.7676128390766916;;;;TTO;1399.491;21392536.138;15.286;36561916.905;26.125;;;;
TW;2020;463393;1.4342792849706805;1.9795420952;0.6012705032;0.04575005231;TWN;;;;;;;;;
TZ;2020;20168;-0.7435417900877541;-0.639138486;;0.3803020181;TZA;59734.215;62409709.111;1.045;161155712.546;2.78;39.15;;;
UA;2020;630861;0.5823143863959983;0.5152140482;0.710059985;-0.9848985352;UKR;44132.05;156617861.449;3.549;546334786.278;13.087;25.189999999999998;UKR;6.055409612;6.855731677
UG;2020;23943;-0.5300691753659178;-0.9886291323;-1.251215753;0.451220515;UGA;45741.001;37600368.181;0.822;104936622.915;2.294;42.166666666666664;UGA;5.994474905;4.629057516
US;2020;10735956;2.028224130908144;1.5464699286;0.7050406095;2.537689066;USA;331501.068;20893743833.0;63.028;20893743833.0;63.028;41.04;USA;5.678410229;7.357357158
UY;2020;41070;-0.3552070393158419;-0.0041411368;-0.1760005544;0.1581567199;URY;3473.727;53560755.047;15.419;78951615.237;22.728;40.589999999999996;URY;6.131547083;7.637457721
UZ;2020;32467;-0.6707219424101258;-0.5531343398;-1.240149075;0.1086376266;UZB;34232.052;59894305.353;1.75;265176212.243;7.746;;UZB;6.638776151;5.670888241
VC;2020;532;;;;;VCT;110.947;872134.547;7.861;1486975.992;13.403;;;;
VE;2020;92198;-0.6628042156389844;-1.0969532087;-1.43484402;-0.432296388;VEN;28435.944;;;;;;;;
VG;2020;253;;;;;VGB;30.237;;;;;;;;
VI;2020;847;;;;;;;;;;;;;;
VN;2020;578874;-0.0992233157899589;-0.0309330929;0.1609133905;-0.5451618993;VNM;;;;;;36.14;VNM;6.12125544;6.430546612
VN;2020;578874;-0.0992233157899589;-0.0309330929;0.1609133905;-0.5451618993;VNM;97338.585;343242570.827;3.526;1061423920.239;10.904;36.14;VNM;6.12125544;6.430546612
VU;2020;282;;;;;VUT;307.15;896827.873;2.92;932543.265;3.036;34.849999999999994;;;
WS;2020;160;;;;;WSM;198.41;807147.528;4.068;1342156.348;6.765;38.7;;;
YE;2020;14972;-0.946623757440726;-1.2071075379;;-1.454652805;YEM;;;;;;36.7;;;
YE;2020;14972;-0.946623757440726;-1.2071075379;;-1.454652805;YEM;29825.968;18840511.908;0.632;;;36.7;;;
YT;2020;392;;;;;MYT;;;;;;;;;
ZA;2020;234107;-0.1006760914527161;0.0723714668;0.9660227206;1.280994768;ZAF;59308.689;335442101.366;5.656;792333514.802;13.359;63.2;ZAF;6.520240173;7.214560563
ZM;2020;8473;-0.946623757440726;-0.7170458291;;0.1270183967;ZMB;18383.957;18110631.358;0.985;63559367.707;3.457;53.95;;;
ZW;2020;15440;-0.7507097970133004;-0.8935691018;-0.6236403044;0.05081902777;ZWE;14862.927;18051170.799;1.215;33463221.326;2.251;45.93333333333334;ZWE;6.723332588;5.603168515
