iso2_code;cluster_name;num_pushers;period;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca;year
AE;Batch/High-Level Tools;0.0;1;7;29;0;-0.15650359933012017;2.0633564095333177;0.08244319977543843;-0.037114162186910736;1.1448093523638123;0.0;2020
AE;Concurrency-Oriented;0.0;1;7;20;0;-0.15650359933012017;2.0246620478598785;0.07996640128658411;-0.037114162186910736;1.1062170270681817;0.0;2020
AE;Cross-Platform Build Systems;0.0;1;7;35;0;-0.15650359933012017;1.6756735820743893;0.10629796036876121;-0.037114162186910736;0.9080920854167787;0.0;2020
AE;Data/Document DSLs;0.0;1;7;32;0;-0.15650359933012017;1.8574104985380318;0.08642699586338483;-0.037114162186910736;1.0119811282270283;0.0;2020
AE;Database Scripting;143.0;1;7;48;1;-0.15650359933012017;-0.42014863878726394;0.3116661397511006;-0.037114162186910736;0.0;1.021918572384374;2020
AE;Debugging/Testing Tools;0.0;1;7;20;0;-0.15650359933012017;2.271994959243407;0.08099020900552324;-0.037114162186910736;1.2169857396433021;0.0;2020
AE;Desktop Automation;0.0;1;7;19;0;-0.15650359933012017;2.2682190957863035;0.07499708747126099;-0.037114162186910736;1.186602855589096;0.0;2020
AE;Dynamic General Purpose;916.35;1;7;99;1;-0.15650359933012017;-1.2074657060732694;0.5390783821004872;-0.037114162186910736;-0.0;1.5942350071248348;2020
AE;Dynamic OOP Scripting;0.0;1;7;48;0;-0.15650359933012017;-0.41225728066898837;0.28974008098425236;-0.037114162186910736;-0.08618053043995064;0.0;2020
AE;Enterprise OOP;0.0;1;7;37;0;-0.15650359933012017;0.6547672714360261;0.15071244193565633;-0.037114162186910736;0.35091698205104427;0.0;2020
AE;Event Scripting;0.0;1;7;11;0;-0.15650359933012017;2.4445366155669275;0.0704501320796331;-0.037114162186910736;0.8960064442982255;0.0;2020
AE;Functional JVM;0.0;1;7;32;0;-0.15650359933012017;2.0726955618238985;0.08701077434584302;-0.037114162186910736;1.157344535201796;0.0;2020
AE;Functional Lisp;0.0;1;7;25;0;-0.15650359933012017;2.271061865195929;0.08172019141161846;-0.037114162186910736;1.1636038364431491;0.0;2020
AE;Game Scripting;0.0;1;7;14;0;-0.15650359933012017;2.2476014339285086;0.06792894958678901;-0.037114162186910736;0.9431545112260838;0.0;2020
AE;Graphics/Hardware Languages;0.0;1;7;35;0;-0.15650359933012017;1.6583031646204733;0.10401216763698179;-0.037114162186910736;0.9072964762606491;0.0;2020
AE;HTML-Centric Templating;0.0;1;7;51;0;-0.15650359933012017;-0.3300974919836953;0.28234862508230346;-0.037114162186910736;-0.1007823982456938;0.0;2020
AE;Installer & Scripting Utilities;0.0;1;7;20;0;-0.15650359933012017;2.370927457831482;0.06947754216045933;-0.037114162186910736;1.2389775015739268;0.0;2020
AE;Interactive Tools;442.5;1;7;25;1;-0.15650359933012017;1.1553253959502925;0.15494450245302174;-0.037114162186910736;0.0;1.1478806485796695;2020
AE;JavaScript-Based Templating;125.0;1;7;52;0;-0.15650359933012017;-0.4118356804224902;0.29617111357867126;-0.037114162186910736;-0.05845646270114093;0.94479323808278;2020
AE;Logic Programming;0.0;1;7;19;0;-0.15650359933012017;2.0814849049538844;0.0797123771266132;-0.037114162186910736;1.1040483460305013;0.0;2020
AE;Low-Level C-Based;233.25;1;7;38;0;-0.15650359933012017;1.3780517153657543;0.1166475525102907;-0.037114162186910736;0.7060150059333709;0.7003513667594398;2020
AE;Low-Level Hardware;0.0;1;7;38;0;-0.15650359933012017;1.8984509317220124;0.09594873726386123;-0.037114162186910736;1.0488750630309507;0.0;2020
AE;Low-Level Languages;0.0;1;7;17;0;-0.15650359933012017;2.2752759337772472;0.07526091705659235;-0.037114162186910736;1.1176516272302983;0.0;2020
AE;Low-Level Utilities;0.0;1;7;32;0;-0.15650359933012017;1.9732992340459026;0.08764798111347955;-0.037114162186910736;1.0792854899439202;0.0;2020
AE;Modern Contract/Typed;201.75;1;7;49;1;-0.15650359933012017;0.017495420655329257;0.2657668653673385;-0.037114162186910736;0.0;1.7230842993693642;2020
AE;OOP System Programming;260.125;1;7;33;0;-0.15650359933012017;0.9641633338453997;0.1277070434924303;-0.037114162186910736;0.6458960230148915;0.7494881882791906;2020
AE;Pascal-Based Systems;0.0;1;7;22;0;-0.15650359933012017;2.168098206098172;0.08109559476547296;-0.037114162186910736;1.1431687118981522;0.0;2020
AE;Popular JVM OOP;364.2142857142857;1;7;69;0;-0.15650359933012017;-0.35481833607320373;0.29634718355785966;-0.037114162186910736;0.04015196864913108;0.8676836405431627;2020
AE;Pure Functional;0.0;1;7;28;0;-0.15650359933012017;2.0775653102648364;0.08312676959849823;-0.037114162186910736;1.1576237846015527;0.0;2020
AE;Scientific Tools;0.0;1;7;34;0;-0.15650359933012017;1.1819372675062847;0.11444709331071802;-0.037114162186910736;0.5562032917351076;0.0;2020
AE;Shell Scripting;634.375;1;7;107;1;-0.15650359933012017;-0.46343308589147675;0.37080284526935736;-0.037114162186910736;0.0;1.565675056730248;2020
AE;Specialized Tools;0.0;1;7;25;0;-0.15650359933012017;2.2122205772561943;0.08111918095675313;-0.037114162186910736;1.1762218098345998;0.0;2020
AE;Strongly Typed Systems;125.0;1;7;43;1;-0.15650359933012017;1.079240568047078;0.1801238141154433;-0.037114162186910736;0.0;1.2713585250120572;2020
AE;Text Parsing DSLs;0.0;1;7;31;0;-0.15650359933012017;2.0730247047166923;0.08444545703467979;-0.037114162186910736;1.1545544028166903;0.0;2020
