"language";"year";"iso2_code";"num_pushers";"e_p";"e_c";"e";"rca";"rca01";"entry01";"rel_density";"pci"
"AIDL";2020;"HR";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"HT";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"HU";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"ID";231;9196;1945496;112428608;1.4516419453374;1;1;-0.494243057439682;0.213748483556337
"AIDL";2020;"IE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"IL";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"IN";1479;9196;11383934;112428608;1.58837731469774;1;1;-0.494243057439682;0.213748483556337
"AIDL";2020;"IQ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"IR";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"IS";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"IT";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"JM";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"JO";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"JP";298;9196;3120468;112428608;1.16754707937896;1;1;-0.494243057439682;0.213748483556337
"AIDL";2020;"KE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"KG";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"KH";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"KR";369;9196;2647018;112428608;1.70430509617715;1;1;-0.494243057439682;0.213748483556337
"AIDL";2020;"KW";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"KZ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"LA";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"LB";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"LK";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"LR";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"LS";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"LT";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"LU";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"LV";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"LY";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MA";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MD";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"ME";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MG";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MK";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"ML";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MM";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MN";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MO";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MR";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MT";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MU";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MV";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MW";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MX";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MY";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"MZ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"NE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"NG";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"NI";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"NL";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"NO";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"NP";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"NZ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"OM";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"PA";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"PE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"PH";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"PK";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"PL";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"PR";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"PS";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"PT";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"PY";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"QA";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"RE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"RO";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"RS";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"RU";610;9196;4122285;112428608;1.80912965250536;1;1;-0.494243057439682;0.213748483556337
"AIDL";2020;"RW";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"SA";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"SC";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"SD";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"SE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"SG";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"SI";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"SK";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"SL";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"SN";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"SO";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"SV";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"SY";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"TG";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"TH";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"TJ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"TM";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"TN";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"TR";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"TT";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"TW";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"TZ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"UA";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"UG";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"US";1779;9196;22450512;112428608;0.968785364458313;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"UY";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"UZ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"VE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"VN";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"XK";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"YE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"ZA";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"ZM";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2020;"ZW";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"AD";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"AE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"AF";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"AL";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"AM";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"AO";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"AR";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"AT";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"AU";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"AZ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BA";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BB";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BD";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BF";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BG";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BH";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BI";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BJ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BN";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BO";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BR";872;21799;4545950;91185560;0.802382278870068;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BT";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BW";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BY";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"BZ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"CA";641;21799;2511663;91185560;1.06754492379008;1;1;-0.494243057439682;0.213748483556337
"AIDL";2022;"CD";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"CH";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"CI";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"CL";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"CM";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"CN";3003;21799;2886282;91185560;4.35217218941329;1;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"CO";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"CR";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"CU";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"CV";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"CY";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"CZ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"DE";1397;21799;3595998;91185560;1.62504900762721;1;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"DK";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"DO";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"DZ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"EC";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"EE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"EG";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"ES";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"ET";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"FI";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"FR";719;21799;2849774;91185560;1.0553778346021;1;1;-0.494243057439682;0.213748483556337
"AIDL";2022;"GA";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"GB";728;21799;3095718;91185560;0.983692783011042;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"GE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"GH";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"GM";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"GN";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"GR";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"GT";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"HK";2341;21799;2199286;91185560;4.45255407202829;1;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"HN";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"HR";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"HT";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"HU";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"ID";606;21799;2059282;91185560;1.23096668412002;1;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"IE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"IL";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"IN";2804;21799;10012999;91185560;1.17139491574957;1;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"IQ";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"IR";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"IS";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"IT";105;21799;1020672;91185560;0.430321055285152;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"JM";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"JO";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"JP";1019;21799;2303763;91185560;1.85023070238796;1;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"KE";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"KG";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
"AIDL";2022;"KH";0;0;0;0;0;0;0;-0.494243057439682;0.213748483556337
