iso2_code;language;exit01;consider00;pci;ubiquity;rca01;density
AE;Batchfile;0;1;0.7607178814684841;58.0;1.0;0.2402994236673712
AE;C#;0;1;-0.1043281087103906;86.0;1.0;0.3412053738880169
AE;CSS;0;1;-1.1235791698152833;137.0;1.0;0.4251582823303874
AE;Dart;0;1;-0.2731426361832896;46.0;1.0;0.3256402022317164
AE;Dockerfile;0;1;0.1974236737775398;73.0;1.0;0.2901663224051773
AE;Go;0;1;1.0106528223522817;48.0;1.0;0.2022766395382461
AE;HTML;0;1;-1.2905081989991216;145.0;1.0;0.4272910598252296
AE;Java;0;1;-0.7652183747771489;102.0;1.0;0.4230960008957782
AE;JavaScript;0;1;-1.0676450719083308;137.0;1.0;0.4172775628188515
AE;Jupyter Notebook;0;1;0.4303108890840478;48.0;1.0;0.2338916142528644
AE;Kotlin;0;1;-0.161119360854662;76.0;1.0;0.3604666691706623
AE;Less;0;1;0.0287144858230048;58.0;1.0;0.3115621275369796
AE;Objective-C;0;1;0.2858814656882291;82.0;1.0;0.3181801284324211
AE;PHP;0;1;-0.8800035812127267;107.0;1.0;0.4240829997208973
AE;PowerShell;0;1;0.759189602096217;58.0;1.0;0.2456974405906614
AE;Python;0;1;-0.5731609756980096;95.0;1.0;0.3545137683391092
AE;Ruby;0;1;-0.5770155083209011;105.0;1.0;0.3926350514161335
AE;SCSS;0;1;-0.5056458545683647;112.0;1.0;0.3924522841741493
AE;Shell;0;1;-0.9410493095376736;115.0;1.0;0.3940992279190555
AE;Swift;0;1;0.0438564094566854;69.0;1.0;0.3220670015439026
AE;TypeScript;0;1;-0.3351298897756309;97.0;1.0;0.3704734478037991
AF;CSS;0;1;-1.1235791698152833;137.0;1.0;0.0902837449242633
AF;HTML;0;1;-1.2905081989991216;145.0;1.0;0.0936589737844499
AF;JavaScript;0;1;-1.0676450719083308;137.0;1.0;0.0877032419027942
AL;C#;0;1;-0.1043281087103906;86.0;1.0;0.2128087178897963
AL;CSS;0;1;-1.1235791698152833;137.0;1.0;0.2974156784038068
AL;HTML;0;1;-1.2905081989991216;145.0;1.0;0.3000224064530584
AL;Hack;0;1;-0.3569854687960176;62.0;1.0;0.2149479506500424
AL;Java;0;1;-0.7652183747771489;102.0;1.0;0.2830597273564472
AL;JavaScript;0;1;-1.0676450719083308;137.0;1.0;0.2909224909460508
AL;PHP;0;1;-0.8800035812127267;107.0;1.0;0.2917666827453575
AL;SCSS;0;1;-0.5056458545683647;112.0;1.0;0.2634680354279261
AL;Shell;0;1;-0.9410493095376736;115.0;1.0;0.2684254328949313
AL;TypeScript;0;1;-0.3351298897756309;97.0;1.0;0.2405990553515102
AM;Blade;0;1;-0.4652508894488165;60.0;1.0;0.3446005731638815
AM;C#;0;1;-0.1043281087103906;86.0;1.0;0.3190836870161158
AM;C++;0;1;0.6067486439390477;64.0;1.0;0.2281007353298854
AM;CSS;0;1;-1.1235791698152833;137.0;1.0;0.4049173767786405
AM;HTML;0;1;-1.2905081989991216;145.0;1.0;0.4071252520725968
AM;Java;0;1;-0.7652183747771489;102.0;1.0;0.4003720619847306
AM;JavaScript;0;1;-1.0676450719083308;137.0;1.0;0.3971308269223217
AM;Kotlin;0;1;-0.161119360854662;76.0;1.0;0.3374714634243234
AM;Objective-C;0;1;0.2858814656882291;82.0;1.0;0.2943420652535546
AM;PHP;0;1;-0.8800035812127267;107.0;1.0;0.4044401650358687
AM;SCSS;0;1;-0.5056458545683647;112.0;1.0;0.3712587592034801
AM;Shell;0;1;-0.9410493095376736;115.0;1.0;0.3723717348696981
AM;Swift;0;1;0.0438564094566854;69.0;1.0;0.2959623065821056
AM;TypeScript;0;1;-0.3351298897756309;97.0;1.0;0.3476135450704175
AM;Vue;0;1;-0.3946880570499113;65.0;1.0;0.340534536436183
AO;CSS;0;1;-1.1235791698152833;137.0;1.0;0.1393117161496058
AO;HTML;0;1;-1.2905081989991216;145.0;1.0;0.1425050414519381
AO;JavaScript;0;1;-1.0676450719083308;137.0;1.0;0.1358802190466697
AO;PHP;0;1;-0.8800035812127267;107.0;1.0;0.1186422792769748
AO;Shell;0;1;-0.9410493095376736;115.0;1.0;0.1202834348311306
AR;ASP.NET;0;1;0.6999645931255207;45.0;1.0;0.4601689681933462
AR;Blade;1;0;-0.4652508894488165;60.0;0.0;0.562303749677753
AR;C;1;0;0.8431704579094816;57.0;0.0;0.4151820709301473
AR;C#;0;1;-0.1043281087103906;86.0;1.0;0.5023844252747547
AR;CSS;0;1;-1.1235791698152833;137.0;1.0;0.5486278061960437
AR;Gherkin;1;0;1.884085487951083;34.0;0.0;0.3677507510568568
AR;HLSL;0;1;1.411478442422064;44.0;1.0;0.4133282640645793
AR;HTML;0;1;-1.2905081989991216;145.0;1.0;0.5503024871162895
AR;Hack;0;1;-0.3569854687960176;62.0;1.0;0.5396260633436794
AR;Handlebars;0;1;1.0993431411644778;50.0;1.0;0.4413837264557787
AR;Haskell;0;1;2.1075737141102437;32.0;1.0;0.3492791080331625
AR;Java;0;1;-0.7652183747771489;102.0;1.0;0.5473715996618042
AR;JavaScript;0;1;-1.0676450719083308;137.0;1.0;0.5412237858344584
AR;Lex;1;0;2.1086389957590543;32.0;0.0;0.3390902242191558
AR;PHP;0;1;-0.8800035812127267;107.0;1.0;0.5563993166964374
