iso2_code;language;num_pushers;year;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca
AE;AMPL;0;2020;17;6;0;-0.22160675774439512;2.6951854873046157;0.01642182212130686;-0.3316037723340534;1.2160599488146382;0.0
AE;ANTLR;0;2020;17;14;0;-0.22160675774439512;2.3000474735912224;0.030834613879704438;-0.3316037723340534;1.278921278010891;0.0
AE;ASP.NET;0;2020;17;34;0;-0.22160675774439512;0.0765010568110383;0.21402615580368897;-0.3316037723340534;0.07501966729145883;0.0
AE;ActionScript;0;2020;17;8;0;-0.22160675774439512;2.3013065111720272;0.019469504189802773;-0.3316037723340534;1.1982693295494464;0.0
AE;Ada;0;2020;17;8;0;-0.22160675774439512;2.5288117352547634;0.018782435985063958;-0.3316037723340534;1.2459349584599064;0.0
AE;Apex;0;2020;17;3;0;-0.22160675774439512;2.479990379154063;0.01903715658405486;-0.3316037723340534;0.6473477190404219;0.0
AE;AppleScript;0;2020;17;10;0;-0.22160675774439512;2.5897511326083835;0.02179374547600702;-0.3316037723340534;1.3965004882970677;0.0
AE;Assembly;0;2020;17;30;0;-0.22160675774439512;2.066539101553333;0.07016312691488509;-0.3316037723340534;1.020390143622824;0.0
AE;AutoHotkey;0;2020;17;8;0;-0.22160675774439512;2.615435817542729;0.01971548733203469;-0.3316037723340534;1.2317638013934622;0.0
AE;Awk;0;2020;17;26;0;-0.22160675774439512;2.1704820860382394;0.05873269433206139;-0.3316037723340534;1.1047360734539393;0.0
AE;Batchfile;774;2020;17;40;0;-0.22160675774439512;1.4842174949125826;0.10611551213288836;-0.3316037723340534;0.7282403717891179;0.8920158804907562
AE;Blade;0;2020;17;50;0;-0.22160675774439512;-0.538773794230683;0.3409192974895041;-0.3316037723340534;-0.15072241992080238;0.0
AE;Brainfuck;0;2020;17;5;0;-0.22160675774439512;2.084427287707125;0.02067545164561505;-0.3316037723340534;0.7869286651158675;0.0
AE;C;933;2020;17;37;0;-0.22160675774439512;1.4766062934859767;0.10520007720098497;-0.3316037723340534;0.707562345391723;0.6554036744483696
AE;C#;1283;2020;17;65;1;-0.22160675774439512;0.06114557649758345;0.2745938043154431;-0.3316037723340534;0.0;1.11311111623081
AE;C++;1169;2020;17;36;0;-0.22160675774439512;1.3266554000086934;0.10841524073383285;-0.3316037723340534;0.6487368436072382;0.7160038409410782
AE;CMake;0;2020;17;35;0;-0.22160675774439512;1.783558329010349;0.09068451359961995;-0.3316037723340534;0.8624855150892101;0.0
AE;CSS;8322;2020;17;109;1;-0.22160675774439512;-1.154937011225031;0.5909090702255945;-0.3316037723340534;-0.0;1.2068506921875275
AE;Clojure;0;2020;17;16;0;-0.22160675774439512;2.318094508669456;0.03596764474202825;-0.3316037723340534;1.2444068811526436;0.0
AE;CoffeeScript;0;2020;17;16;0;-0.22160675774439512;0.5969245402652471;0.07271593370370914;-0.3316037723340534;0.5600130573593202;0.0
AE;Common Lisp;0;2020;17;14;0;-0.22160675774439512;2.515459933295283;0.027507485435264094;-0.3316037723340534;1.4053977284506403;0.0
AE;Cuda;0;2020;17;16;0;-0.22160675774439512;2.22809296901916;0.04033566483322675;-0.3316037723340534;1.1051110466530727;0.0
AE;D;0;2020;17;10;0;-0.22160675774439512;2.362333263170189;0.023871232945330778;-0.3316037723340534;1.3309965466037148;0.0
AE;DIGITAL Command Language;0;2020;17;12;0;-0.22160675774439512;2.5591830713517916;0.022305445746911713;-0.3316037723340534;1.4420150065695063;0.0
AE;DTrace;0;2020;17;8;0;-0.22160675774439512;2.6528126654442232;0.016826806515893654;-0.3316037723340534;1.3710907246937496;0.0
AE;Dart;229;2020;17;36;1;-0.22160675774439512;-0.5474467326846587;0.37348112841174336;-0.3316037723340534;-0.0;1.0037968732729803
AE;Dockerfile;1779;2020;17;44;1;-0.22160675774439512;1.1026950730202971;0.14245754194072902;-0.3316037723340534;0.0;1.1372748329608
AE;Elixir;0;2020;17;17;0;-0.22160675774439512;2.1837861851506646;0.036055318645628574;-0.3316037723340534;1.2419405805933192;0.0
AE;Elm;0;2020;17;9;0;-0.22160675774439512;2.5601258348423293;0.02164701284166953;-0.3316037723340534;1.3049204575221485;0.0
AE;Emacs Lisp;0;2020;17;22;0;-0.22160675774439512;2.2054027916145063;0.054767303635401623;-0.3316037723340534;1.1000657222994208;0.0
AE;Erlang;0;2020;17;11;0;-0.22160675774439512;2.540252090086441;0.023519415584627876;-0.3316037723340534;1.3810534899158833;0.0
AE;F#;0;2020;17;13;0;-0.22160675774439512;2.480927113859438;0.02785054775827801;-0.3316037723340534;1.3539010381556822;0.0
AE;Forth;0;2020;17;10;0;-0.22160675774439512;2.3346155965819837;0.024957392529924675;-0.3316037723340534;1.2587601367661372;0.0
AE;Fortran;0;2020;17;16;0;-0.22160675774439512;2.3152034186665342;0.03585516711501406;-0.3316037723340534;1.2169513382584225;0.0
AE;FreeMarker;0;2020;17;9;0;-0.22160675774439512;2.16319137013643;0.028018798199237686;-0.3316037723340534;0.7975687959921104;0.0
AE;G-code;0;2020;17;6;0;-0.22160675774439512;2.686179903009207;0.017173494194764584;-0.3316037723340534;1.1776089411905337;0.0
AE;GAP;0;2020;17;12;0;-0.22160675774439512;2.53068783660107;0.023591421253492943;-0.3316037723340534;1.3620575243557478;0.0
AE;GDB;0;2020;17;17;0;-0.22160675774439512;2.4739181592239885;0.031235738225511227;-0.3316037723340534;1.3799535691829605;0.0
AE;GDScript;0;2020;17;8;0;-0.22160675774439512;2.3737365208768058;0.021673882796452836;-0.3316037723340534;1.2062111059377494;0.0
AE;GLSL;0;2020;17;28;0;-0.22160675774439512;2.1292986880188804;0.06309205671164825;-0.3316037723340534;1.058719030138678;0.0
AE;Gherkin;0;2020;17;25;0;-0.22160675774439512;1.7611886464690083;0.06590391807320449;-0.3316037723340534;0.899637033995098;0.0
AE;Gnuplot;0;2020;17;11;0;-0.22160675774439512;2.572994445526241;0.022958374806987272;-0.3316037723340534;1.3640963520283733;0.0
AE;Go;500;2020;17;25;0;-0.22160675774439512;1.4299660850672142;0.08028519961800153;-0.3316037723340534;0.7743966170205469;0.8947757776350671
AE;Groovy;0;2020;17;29;0;-0.22160675774439512;1.987541526130555;0.07006535055831249;-0.3316037723340534;0.9855319329773786;0.0
AE;HCL;0;2020;17;23;0;-0.22160675774439512;2.064719883007742;0.05762928620233693;-0.3316037723340534;1.0420802442366786;0.0
AE;HLSL;0;2020;17;30;0;-0.22160675774439512;1.6267079923577963;0.0863796159441278;-0.3316037723340534;0.7854466707422706;0.0
AE;HTML;11783;2020;17;117;1;-0.22160675774439512;-1.2402779294182364;0.5741811175337187;-0.3316037723340534;-0.0;1.3017187371362742
AE;Hack;0;2020;17;51;0;-0.22160675774439512;-0.4356702638549228;0.3161959974826922;-0.3316037723340534;-0.12171281572871412;0.0
AE;Handlebars;0;2020;17;21;0;-0.22160675774439512;0.537780340829634;0.1071876055799316;-0.3316037723340534;0.35861415107556194;0.0
AE;Haskell;0;2020;17;24;0;-0.22160675774439512;2.1776623998923545;0.05270842306070945;-0.3316037723340534;1.1296544180532013;0.0
AE;Inno Setup;0;2020;17;10;0;-0.22160675774439512;2.5865686149877987;0.02208286438448957;-0.3316037723340534;1.3487587804170167;0.0
AE;Java;2878;2020;17;65;0;-0.22160675774439512;-0.46559942529785925;0.3601946039193263;-0.3316037723340534;-0.06342929197161039;0.9864447171082082
AE;JavaScript;8867;2020;17;113;1;-0.22160675774439512;-1.0341206738421929;0.5471035957786503;-0.3316037723340534;-0.0;1.2137340923639055
