iso2_code;language;num_pushers;period;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca
AE;AIDL;0.0;1;26;13;0;-0.33436064719796643;2.3825990878202337;0.002487334273669652;-0.37918166818940585;1.355606145080694;0.0
AE;AMPL;0.0;1;26;10;0;-0.33436064719796643;2.510719836761445;0.0;-0.37918166818940585;1.329753321405678;0.0
AE;ANTLR;0.0;1;26;19;0;-0.33436064719796643;2.260210808289466;0.006966204776194153;-0.37918166818940585;1.3717505894095618;0.0
AE;ASP.NET;0.0;1;26;40;0;-0.33436064719796643;0.5949700772473899;0.22470182719840479;-0.37918166818940585;0.35324065825731943;0.0
AE;ActionScript;0.0;1;26;11;0;-0.33436064719796643;2.43041300402198;0.0019249938690467277;-0.37918166818940585;1.321495304707373;0.0
AE;Ada;0.0;1;26;10;0;-0.33436064719796643;2.462004416490161;0.00039747790428078277;-0.37918166818940585;1.2288343502616312;0.0
AE;Apex;0.0;1;26;8;0;-0.33436064719796643;2.3668996258749995;0.002566015159992508;-0.37918166818940585;1.0198226069935044;0.0
AE;AppleScript;0.0;1;26;13;0;-0.33436064719796643;2.4459773835906184;0.00032997928718658614;-0.37918166818940585;1.4228025446219354;0.0
AE;Assembly;0.0;1;26;45;0;-0.33436064719796643;0.8114094485040036;0.2291506160219405;-0.37918166818940585;0.3387316383576082;0.0
AE;AutoHotkey;0.0;1;26;14;0;-0.33436064719796643;2.412335337210158;0.0009625210664829702;-0.37918166818940585;1.414094644107338;0.0
AE;Awk;0.0;1;26;35;0;-0.33436064719796643;1.8295020878799761;0.05015917977874029;-0.37918166818940585;1.0534485912921072;0.0
AE;Batchfile;18.549988431535002;1;26;56;1;-0.33436064719796643;0.12025803543296723;0.45421504799347723;-0.37918166818940585;0.0;2.219844701565138
AE;Bicep;0.0;1;26;4;0;-0.33436064719796643;2.2838918170772717;0.00775089813905029;-0.37918166818940585;0.55171902240413;0.0
AE;Blade;4.041747871723267;1;26;58;0;-0.33436064719796643;-0.27330422377248764;0.5333677261050409;-0.37918166818940585;0.016654091553098545;0.7573625397704745
AE;Brainfuck;0.0;1;26;7;0;-0.33436064719796643;2.3942252297645745;0.0028354654123483175;-0.37918166818940585;0.9456342788515202;0.0
AE;C;19.717141526374768;1;26;64;1;-0.33436064719796643;-0.14028205550918516;0.5413933982957492;-0.37918166818940585;0.0;2.0915601036581957
AE;C#;20.09343078540763;1;26;66;1;-0.33436064719796643;-0.37388135512349324;0.6181360355991952;-0.37918166818940585;0.0;1.9485844078518504
AE;C++;20.269517004672533;1;26;67;1;-0.33436064719796643;-0.1808229345345527;0.5516860444569763;-0.37918166818940585;0.0;2.062977955647522
AE;CMake;8.3974236488035;1;26;48;1;-0.33436064719796643;0.628977077476892;0.28332043809668855;-0.37918166818940585;0.0;1.2902263701850805
AE;CSS;26.8446881141318;1;26;105;1;-0.33436064719796643;-0.9855023930710389;0.8115743769702015;-0.37918166818940585;-0.0;1.5898284015344766
