iso2_code;language;num_pushers;period;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca;year
AE;ANTLR;0;1;20;19;0;-0.3095017041581146;2.2660215905761234;0.04157939056480499;-0.1559291000469794;1.215156353622367;0.0;2021
AE;ASP.NET;0;1;20;38;0;-0.3095017041581146;0.24544049326866335;0.21760292749939006;-0.1559291000469794;0.21105919784170032;0.0;2021
AE;Ada;0;1;20;9;0;-0.3095017041581146;2.3490267083695575;0.025539091925387437;-0.1559291000469794;1.0573851671775139;0.0;2021
AE;Apex;0;1;20;7;0;-0.3095017041581146;2.0809373311574224;0.028615807505567394;-0.1559291000469794;0.9578919725729326;0.0;2021
AE;AppleScript;0;1;20;11;0;-0.3095017041581146;2.5113453801885353;0.025733303575320884;-0.1559291000469794;1.2663659254288362;0.0;2021
AE;Assembly;0;1;20;37;0;-0.3095017041581146;1.6306942224945278;0.09023553470595487;-0.1559291000469794;0.882532231761479;0.0;2021
AE;Astro;0;1;20;1;0;-0.3095017041581146;2.619466184161546;0.01539076858286652;-0.1559291000469794;0.6844375512492451;0.0;2021
AE;AutoHotkey;0;1;20;10;0;-0.3095017041581146;2.5302394593756614;0.024405042751039024;-0.1559291000469794;1.2148698133905342;0.0;2021
AE;Awk;0;1;20;27;0;-0.3095017041581146;2.220272531656648;0.056171077403113626;-0.1559291000469794;1.1432043489191959;0.0;2021
AE;Batchfile;228;1;20;41;0;-0.3095017041581146;1.385680991648399;0.10865696961441136;-0.1559291000469794;0.7728216361605241;0.8837941186855189;2021
AE;Beef;0;1;20;1;0;-0.3095017041581146;0.8604694356513835;0.03707383026865064;-0.1559291000469794;0.0009350048948305612;0.0;2021
AE;Bicep;0;1;20;4;0;-0.3095017041581146;2.0351393436732192;0.03376261195344765;-0.1559291000469794;0.5960856445622053;0.0;2021
AE;Blade;105;1;20;63;1;-0.3095017041581146;-0.6022584861679225;0.4120578906700287;-0.1559291000469794;0.0;1.2699801396681092;2021
AE;Brainfuck;0;1;20;7;0;-0.3095017041581146;1.7968160698579938;0.0344939350426849;-0.1559291000469794;0.7806862320419308;0.0;2021
AE;Brightscript;0;1;20;1;0;-0.3095017041581146;0.8604694356513835;0.03707383026865064;-0.1559291000469794;0.0009350048948305612;0.0;2021
AE;C;369;1;20;42;0;-0.3095017041581146;1.3840246710673325;0.10936319185026364;-0.1559291000469794;0.751628538347938;0.8402977050860118;2021
AE;C#;330;1;20;66;0;-0.3095017041581146;0.08555688980079494;0.2551646609899234;-0.1559291000469794;0.19206064507405274;0.9395769786382411;2021
AE;C++;405;1;20;35;0;-0.3095017041581146;1.4333460992762135;0.09884870118747038;-0.1559291000469794;0.7376888806727459;0.849163961023794;2021
AE;CMake;127;1;20;36;0;-0.3095017041581146;1.8642905402575294;0.08120449180644049;-0.1559291000469794;0.9615702924159915;0.7446883376746359;2021
AE;CSS;2498;1;20;113;1;-0.3095017041581146;-1.2843646932395627;0.6346678529689611;-0.1559291000469794;-0.0;1.1812041689486015;2021
AE;CUE;0;1;20;5;0;-0.3095017041581146;2.611355915831792;0.01904862245639687;-0.1559291000469794;0.9581070456452785;0.0;2021
AE;Clojure;0;1;20;23;0;-0.3095017041581146;2.189952049145869;0.05339485930108136;-0.1559291000469794;1.1478715696230175;0.0;2021
