iso2_code;language;num_pushers;period;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca
AD;ANTLR;0;1;1;23;0;-1.4085828189284542;2.3027053428342605;0.0;-0.7258684175932515;1.1372757763540742;0.0
AD;ASP.NET;0;1;1;34;0;-1.4085828189284542;0.6508593583895199;0.004647270698535728;-0.7258684175932515;0.12212364780585452;0.0
AD;Ada;0;1;1;13;0;-1.4085828189284542;2.2131112367105126;0.00016693616114268092;-0.7258684175932515;0.9076438561285661;0.0
AD;Apex;0;1;1;8;0;-1.4085828189284542;1.9866709717602207;0.00046121918986275303;-0.7258684175932515;0.6815883028495835;0.0
AD;AppleScript;0;1;1;16;0;-1.4085828189284542;2.497941071908732;0.0;-0.7258684175932515;1.187453215131824;0.0
AD;Assembly;0;1;1;43;0;-1.4085828189284542;0.9816259879277525;0.002409179202878242;-0.7258684175932515;0.3837038465715255;0.0
AD;Astro;0;1;1;23;0;-1.4085828189284542;1.873950573454979;0.0007786375171479828;-0.7258684175932515;0.9607256107734096;0.0
AD;AutoHotkey;0;1;1;13;0;-1.4085828189284542;2.516304670390696;0.0;-0.7258684175932515;1.0906839590985258;0.0
AD;Awk;0;1;1;29;0;-1.4085828189284542;2.2939472486721333;0.0;-0.7258684175932515;1.0711775319515386;0.0
AD;Batchfile;0;1;1;42;0;-1.4085828189284542;1.617771187017663;0.0012464964416089056;-0.7258684175932515;0.6649659567732025;0.0
AD;Bicep;0;1;1;15;0;-1.4085828189284542;2.335506863988185;0.0001456874721635403;-0.7258684175932515;0.9981821381618661;0.0
AD;Blade;0;1;1;60;0;-1.4085828189284542;-0.5790972129658696;0.017047864084595358;-0.7258684175932515;-0.5896679837942339;0.0
AD;Brainfuck;0;1;1;12;0;-1.4085828189284542;0.4540732054335775;0.003453460242218626;-0.7258684175932515;0.08716785560853142;0.0
AD;Brightscript;0;1;1;1;0;-1.4085828189284542;0.7816936855619362;0.001537270984405812;-0.7258684175932515;-0.031706179601189745;0.0
AD;C;0;1;1;62;0;-1.4085828189284542;-0.06875421444048012;0.008832076095338362;-0.7258684175932515;-0.1545302512473835;0.0
AD;C#;0;1;1;71;0;-1.4085828189284542;0.0464281233472082;0.012070860370384412;-0.7258684175932515;-0.2560051177316556;0.0
AD;C++;0;1;1;49;0;-1.4085828189284542;0.32491217659892;0.005358487314037463;-0.7258684175932515;0.020420420755582563;0.0
AD;CMake;0;1;1;61;0;-1.4085828189284542;0.23859755135552102;0.006517334378270904;-0.7258684175932515;-0.1055614969955832;0.0
AD;CSS;0;1;1;120;0;-1.4085828189284542;-1.2733524471676434;0.05859149138473794;-0.7258684175932515;-0.7335633282027698;0.0
AD;CUE;0;1;1;7;0;-1.4085828189284542;2.5667291148009737;0.0;-0.7258684175932515;0.8258606821048439;0.0
AD;Clojure;0;1;1;24;0;-1.4085828189284542;2.2843284719164454;0.00012006768742524088;-0.7258684175932515;1.07311788947218;0.0
AD;CoffeeScript;0;1;1;24;0;-1.4085828189284542;1.2768361087965219;0.0015263089477552316;-0.7258684175932515;0.6653519460408581;0.0
AD;Common Lisp;0;1;1;19;0;-1.4085828189284542;2.3220814868642514;0.00012362209198836993;-0.7258684175932515;1.1224549502706158;0.0
AD;Crystal;0;1;1;5;0;-1.4085828189284542;1.6363179314554233;0.0007734283781311517;-0.7258684175932515;0.3848533862128426;0.0
AD;Cuda;0;1;1;21;0;-1.4085828189284542;2.3206516054936217;0.0;-0.7258684175932515;1.0626399815750749;0.0
AD;Cython;0;1;1;27;0;-1.4085828189284542;1.837010369682851;0.0006645876065247324;-0.7258684175932515;0.857589078156478;0.0
AD;D;0;1;1;17;0;-1.4085828189284542;2.439478174132314;0.0;-0.7258684175932515;1.1593017928888694;0.0
AD;DIGITAL Command Language;0;1;1;16;0;-1.4085828189284542;2.4766501535638934;0.0;-0.7258684175932515;1.16351927886642;0.0
AD;DTrace;0;1;1;11;0;-1.4085828189284542;2.3574364272371118;0.00017486395150265275;-0.7258684175932515;0.9169456902222455;0.0
AD;Dart;0;1;1;57;0;-1.4085828189284542;-1.0301773676231987;0.02428693631439135;-0.7258684175932515;-0.7518918594870377;0.0
AD;Dockerfile;0;1;1;59;0;-1.4085828189284542;0.8270309888044352;0.004657353742182371;-0.7258684175932515;0.24613738772594504;0.0
AD;EJS;0;1;1;29;0;-1.4085828189284542;0.30075705967913263;0.005196255482646208;-0.7258684175932515;-0.03351669541487227;0.0
AD;Elixir;0;1;1;21;0;-1.4085828189284542;1.8841533087435198;0.000811928364876069;-0.7258684175932515;0.9122940168317999;0.0
AD;Emacs Lisp;0;1;1;27;0;-1.4085828189284542;2.2349796713979213;0.0;-0.7258684175932515;1.024572176595674;0.0
AD;Erlang;0;1;1;16;0;-1.4085828189284542;2.3817531083048187;0.00012984418294545406;-0.7258684175932515;1.1268366784321961;0.0
AD;F#;0;1;1;19;0;-1.4085828189284542;2.183395609885799;0.00039337338154622986;-0.7258684175932515;1.0434238494356294;0.0
AD;Factor;0;1;1;1;0;-1.4085828189284542;0.7816936855619362;0.001537270984405812;-0.7258684175932515;-0.031706179601189745;0.0
AD;Forth;0;1;1;23;0;-1.4085828189284542;1.4658798808743636;0.001334652884281254;-0.7258684175932515;0.7126542758991607;0.0
AD;Fortran;0;1;1;21;0;-1.4085828189284542;2.179162465365034;0.00025840534333357936;-0.7258684175932515;1.0297924562947616;0.0
AD;FreeMarker;0;1;1;19;0;-1.4085828189284542;2.31672489613815;0.0001266923667601598;-0.7258684175932515;1.1162587168423952;0.0
