,country,semester,neighbor_rca_lang
0,BR,2020s1,SystemVerilog
1,BR,2020s1,AMPL
2,BR,2020s1,Solidity
3,BR,2020s1,Mathematica
4,BR,2020s1,Logos
5,BR,2020s1,NASL
6,BR,2020s1,GDScript
7,BR,2020s1,AppleScript
8,BR,2020s1,DTrace
9,BR,2020s1,Brainfuck
10,BR,2020s1,OpenSCAD
11,BR,2020s1,Julia
12,BR,2020s1,G-code
13,BR,2020s1,LLVM
14,BR,2020s1,Puppet
15,BR,2020s1,AutoHotkey
16,BR,2020s1,OpenEdge ABL
17,BR,2020s1,OCaml
18,BR,2020s1,Liquid
19,BR,2020s1,Stata
20,BR,2020s1,Apex
21,BR,2020s1,Nim
22,IL,2020s1,NASL
23,IL,2020s1,GDScript
24,IL,2020s1,AppleScript
25,IL,2020s1,OpenSCAD
26,IL,2020s1,DTrace
27,IL,2020s1,Brainfuck
28,IL,2020s1,Julia
29,IL,2020s1,G-code
30,IL,2020s1,AutoHotkey
31,IL,2020s1,LLVM
32,IL,2020s1,OpenEdge ABL
33,IL,2020s1,Puppet
34,IL,2020s1,OCaml
35,IL,2020s1,QML
36,IL,2020s1,Liquid
37,IL,2020s1,Stata
38,IL,2020s1,Apex
39,IL,2020s1,SystemVerilog
40,IL,2020s1,AMPL
41,IL,2020s1,Nim
42,IL,2020s1,Solidity
43,IL,2020s1,Logos
44,IL,2020s1,Mathematica
45,NG,2020s1,Mako
46,NG,2020s1,Dart
47,NG,2020s1,Kotlin
48,NG,2020s1,PHP
49,NG,2020s1,Hack
50,KE,2020s1,Kotlin
51,KE,2020s1,Ruby
52,KE,2020s1,HTML
53,KE,2020s1,Dart
54,KE,2020s1,PHP
55,KE,2020s1,Hack
56,CH,2020s1,Vim Snippet
57,CH,2020s1,PostScript
58,CH,2020s1,NASL
59,CH,2020s1,Erlang
60,CH,2020s1,Nix
61,CH,2020s1,Inno Setup
62,CH,2020s1,UnrealScript
63,CH,2020s1,GDScript
64,CH,2020s1,Common Lisp
65,CH,2020s1,AppleScript
66,CH,2020s1,OpenSCAD
67,CH,2020s1,Elm
68,CH,2020s1,GDB
69,CH,2020s1,Julia
70,CH,2020s1,DTrace
71,CH,2020s1,Brainfuck
72,CH,2020s1,D
73,CH,2020s1,G-code
74,CH,2020s1,LLVM
75,CH,2020s1,Pawn
76,CH,2020s1,AutoHotkey
77,CH,2020s1,Scilab
78,CH,2020s1,OpenEdge ABL
79,CH,2020s1,Puppet
80,CH,2020s1,XS
81,CH,2020s1,SWIG
82,CH,2020s1,OCaml
83,CH,2020s1,Standard ML
84,CH,2020s1,QMake
85,CH,2020s1,SmPL
86,CH,2020s1,Stata
87,CH,2020s1,Forth
88,CH,2020s1,QML
89,CH,2020s1,Liquid
90,CH,2020s1,GAP
91,CH,2020s1,Meson
92,CH,2020s1,Scheme
93,CH,2020s1,sed
94,CH,2020s1,Apex
95,CH,2020s1,RobotFramework
96,CH,2020s1,DIGITAL Command Language
97,CH,2020s1,SourcePawn
98,CH,2020s1,Nim
99,CH,2020s1,VHDL
100,CH,2020s1,ANTLR
101,CH,2020s1,NSIS
102,CH,2020s1,SystemVerilog
103,CH,2020s1,AMPL
104,CH,2020s1,Prolog
105,CH,2020s1,Solidity
106,CH,2020s1,Raku
107,CH,2020s1,Logos
108,CH,2020s1,Mathematica
109,CH,2020s1,ActionScript
110,CH,2020s1,Elixir
111,CH,2020s1,Gnuplot
112,US,2020s1,Meson
113,US,2020s1,Apex
114,US,2020s1,Dart
115,US,2020s1,RobotFramework
116,US,2020s1,DIGITAL Command Language
117,US,2020s1,Nim
118,US,2020s1,SystemVerilog
119,US,2020s1,Solidity
120,US,2020s1,Gnuplot
121,US,2020s1,ActionScript
122,US,2020s1,Vim Snippet
123,US,2020s1,NASL
124,US,2020s1,AppleScript
125,US,2020s1,Brainfuck
126,US,2020s1,GDB
127,US,2020s1,Fortran
128,US,2020s1,Processing
129,US,2020s1,Standard ML
130,US,2020s1,Forth
131,US,2020s1,Stata
132,US,2020s1,Verilog
133,US,2020s1,Raku
134,US,2020s1,Lex
135,US,2020s1,TypeScript
136,US,2020s1,SQLPL
137,US,2020s1,Awk
138,US,2020s1,Perl
139,US,2020s1,Erlang
140,US,2020s1,Rust
141,US,2020s1,Inno Setup
142,US,2020s1,Rebol
143,US,2020s1,Jupyter Notebook
144,US,2020s1,Pawn
145,US,2020s1,OpenEdge ABL
146,US,2020s1,Haskell
147,US,2020s1,GAP
148,US,2020s1,Ada
149,US,2020s1,M4
150,US,2020s1,Scheme
151,US,2020s1,Groovy
152,US,2020s1,ANTLR
153,US,2020s1,CoffeeScript
154,US,2020s1,SourcePawn
155,US,2020s1,VHDL
156,US,2020s1,Pascal
157,US,2020s1,Prolog
158,US,2020s1,Mathematica
159,US,2020s1,F#
160,US,2020s1,ShaderLab
161,US,2020s1,Elixir
162,US,2020s1,XSLT
163,US,2020s1,Nix
164,US,2020s1,Tcl
165,US,2020s1,UnrealScript
166,US,2020s1,Yacc
167,US,2020s1,M
168,US,2020s1,Emacs Lisp
169,US,2020s1,Elm
170,US,2020s1,R
171,US,2020s1,D
172,US,2020s1,LLVM
173,US,2020s1,Starlark
174,US,2020s1,Scilab
175,US,2020s1,OCaml
176,US,2020s1,TeX
177,US,2020s1,Liquid
178,US,2020s1,FreeMarker
179,US,2020s1,Vue
180,US,2020s1,sed
181,US,2020s1,Cuda
182,US,2020s1,NSIS
183,US,2020s1,AMPL
184,US,2020s1,Logos
185,US,2020s1,PureBasic
186,US,2020s1,Thrift
187,US,2020s1,HLSL
188,US,2020s1,Vim Script
189,US,2020s1,PostScript
190,US,2020s1,Visual Basic .NET
191,US,2020s1,GDScript
192,US,2020s1,Objective-C
193,US,2020s1,Mako
194,US,2020s1,Common Lisp
195,US,2020s1,HCL
196,US,2020s1,DTrace
197,US,2020s1,OpenSCAD
198,US,2020s1,Julia
199,US,2020s1,VBA
200,US,2020s1,G-code
201,US,2020s1,MATLAB
202,US,2020s1,XS
203,US,2020s1,Puppet
204,US,2020s1,AutoHotkey
205,US,2020s1,SWIG
206,US,2020s1,QMake
207,US,2020s1,Gherkin
208,US,2020s1,SmPL
209,US,2020s1,QML
210,AT,2020s1,D
211,AT,2020s1,G-code
212,AT,2020s1,LLVM
213,AT,2020s1,Pawn
214,AT,2020s1,AutoHotkey
