year;iso2_code;language;num_pushers;e_p;e_c;e;rca;rca01;entry01
2022;NZ;Twig;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;NZ;TypeScript;10416.0;2776147.0;352848.0;112428608.0;1.1954947849594586;1.0;1
2022;NZ;TypeScript;9712.0;2904613.0;237158.0;91185560.0;1.2856083584426603;1.0;0
2020;NZ;UnrealScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;NZ;UnrealScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;NZ;VBA;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;NZ;VBA;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;NZ;VBScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;NZ;VBScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;NZ;VHDL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;NZ;VHDL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;NZ;Verilog;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;NZ;Verilog;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;NZ;Vim Script;1847.0;444328.0;352848.0;112428608.0;1.3245012945398222;1.0;1
2022;NZ;Vim Script;1022.0;276366.0;237158.0;91185560.0;1.4218525899225223;1.0;0
2020;NZ;Vim Snippet;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;NZ;Vim Snippet;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;NZ;Visual Basic .NET;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;NZ;Visual Basic .NET;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;NZ;Vue;2789.0;1173381.0;352848.0;112428608.0;0.7573534988786101;0.0;0
2022;NZ;Vue;1707.0;759361.0;237158.0;91185560.0;0.8643179313043885;0.0;0
2020;NZ;XS;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;NZ;XS;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;NZ;XSLT;1397.0;299447.0;352848.0;112428608.0;1.486502394539011;1.0;1
2022;NZ;XSLT;871.0;204166.0;237158.0;91185560.0;1.64029901911647;1.0;0
2020;NZ;Yacc;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;NZ;Yacc;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;NZ;sed;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;NZ;sed;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;AIDL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;AIDL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;AMPL;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;AMPL;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;ANTLR;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;ANTLR;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;ASP.NET;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;ASP.NET;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;ActionScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;ActionScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Ada;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Ada;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Apex;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Apex;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;AppleScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;AppleScript;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Assembly;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Assembly;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;Astro;0.0;0.0;0.0;0.0;0.0;0.0;0
2022;OM;Astro;0.0;0.0;0.0;0.0;0.0;0.0;0
2020;OM;AutoHotkey;0.0;0.0;0.0;0.0;0.0;0.0;0
