iso2_code;language;entry01;consider00;pci;ubiquity;rca01;density
AE;Batchfile;0;1;1.6717726639101225;12.0;0.0;0.0155165852284974
AE;C;0;1;1.2784496689926468;15.0;0.0;0.0176268840629217
AE;C#;0;1;0.2273563710375963;47.0;0.0;0.0792979969585259
AE;C++;0;1;1.0005765426174964;18.0;0.0;0.0207581230695996
AE;CSS;0;1;-1.1116255854191277;75.0;0.0;0.2243202580032106
AE;Dockerfile;0;1;1.0107673823842602;19.0;0.0;0.0203453884256757
AE;Go;0;1;1.1216706748624503;7.0;0.0;0.0331562160983981
AE;Java;0;1;-0.528168899975628;33.0;0.0;0.1665028052417469
AE;JavaScript;0;1;-1.1724989856494688;65.0;0.0;0.2070434535643283
AE;Makefile;0;1;1.4782959164605505;20.0;0.0;0.0153732900415078
AE;PHP;0;1;-0.5141433734695996;78.0;0.0;0.1799586728889508
AE;Python;0;1;-0.8392963797830137;17.0;0.0;0.0855254131761672
AE;SCSS;0;1;-0.6799695219172239;58.0;0.0;0.19648582190952
AE;Shell;0;1;-0.9880276079204786;32.0;0.0;0.0784530511504217
AE;TypeScript;0;1;-0.2120817021376991;50.0;0.0;0.1198802952324147
AE;Vue;0;1;-0.2361018710647685;40.0;0.0;0.1944647230293133
AL;Python;0;1;-0.8392963797830137;17.0;0.0;0.1608859928718539
AL;Shell;0;1;-0.9880276079204786;32.0;0.0;0.1777451013634219
AM;Batchfile;0;1;1.6717726639101225;12.0;0.0;0.0073934826772248
AM;C;0;1;1.2784496689926468;15.0;0.0;0.0163326562640763
AM;C#;1;0;0.2273563710375963;47.0;1.0;0.2147525714116911
AM;C++;0;1;1.0005765426174964;18.0;0.0;0.0283668853081255
AM;Dockerfile;0;1;1.0107673823842602;19.0;0.0;0.0236500975124288
AM;Java;0;1;-0.528168899975628;33.0;0.0;0.3128368734529348
AM;Jupyter Notebook;0;1;0.670361088203384;9.0;0.0;0.0350793139568418
AM;Objective-C;0;1;-0.3457943986402767;21.0;0.0;0.2688970359952071
AM;Python;0;1;-0.8392963797830137;17.0;0.0;0.1444129470490016
AM;Ruby;0;1;-0.8788442416310434;29.0;0.0;0.3750320150969288
AM;Shell;0;1;-0.9880276079204786;32.0;0.0;0.1594597318358309
AR;Assembly;0;1;1.5955018948096171;14.0;0.0;0.0952778112214686
AR;Batchfile;0;1;1.6717726639101225;12.0;0.0;0.0899449659554723
AR;C;0;1;1.2784496689926468;15.0;0.0;0.1046899029692863
AR;C++;0;1;1.0005765426174964;18.0;0.0;0.1340457821805873
AR;CMake;0;1;1.6016361954331813;19.0;0.0;0.106038961402201
AR;CoffeeScript;0;1;0.58734594833574;7.0;0.0;0.1506683485591894
AR;Dart;0;1;-0.2403243402541655;34.0;0.0;0.3791412980913826
AR;Dockerfile;0;1;1.0107673823842602;19.0;0.0;0.1097301246116462
AR;GLSL;0;1;1.7658415517664936;24.0;0.0;0.1116146085777553
AR;Gherkin;0;1;1.5478721296083566;22.0;0.0;0.1423627150568047
AR;Go;0;1;1.1216706748624503;7.0;0.0;0.06281232364382
AR;Groovy;0;1;1.6771710073666484;11.0;0.0;0.0921640689632803
AR;HCL;0;1;1.8421476366299367;9.0;0.0;0.0655759761762638
AR;HLSL;0;1;1.5027537652836909;22.0;0.0;0.1342847256198712
AR;Java;0;1;-0.528168899975628;33.0;0.0;0.3509298227192522
AR;Jupyter Notebook;0;1;0.670361088203384;9.0;0.0;0.097839331219493
AR;Kotlin;0;1;-0.2257189392439794;43.0;0.0;0.3613186469981685
AR;Less;0;1;-0.086061106193204;34.0;0.0;0.3462010762851538
AR;Lua;0;1;1.742741994116348;19.0;0.0;0.0941031758199141
AR;M4;0;1;1.9266739869876608;17.0;0.0;0.0839854996722964
AR;MATLAB;0;1;1.5302463650727978;14.0;0.0;0.1003868477021131
AR;Makefile;0;1;1.4782959164605505;20.0;0.0;0.0979445705121689
AR;Objective-C;0;1;-0.3457943986402767;21.0;0.0;0.2693685927513577
AR;PLpgSQL;0;1;1.5465048483642962;17.0;0.0;0.1264883954592461
AR;Pascal;0;1;1.69635789232319;13.0;0.0;0.0967094292606099
AR;Perl;0;1;1.908909761911782;17.0;0.0;0.0919611190824422
AR;PowerShell;0;1;1.116761452171574;22.0;0.0;0.1339848003688756
AR;Python;0;1;-0.8392963797830137;17.0;0.0;0.2128247081912258
AR;R;0;1;1.3615818971815483;20.0;0.0;0.1128076001345378
AR;Roff;0;1;1.8767583192000497;14.0;0.0;0.0873342817705565
AR;Ruby;0;1;-0.8788442416310434;29.0;0.0;0.2787189377327239
AR;Rust;0;1;1.8091679055331764;18.0;0.0;0.105317823544908
AR;Scala;0;1;1.7859981228299235;16.0;0.0;0.0981520591439082
AR;ShaderLab;0;1;1.50212281374594;22.0;0.0;0.1356071223124039
AR;Shell;0;1;-0.9880276079204786;32.0;0.0;0.187010329790606
AR;Smarty;0;1;1.6783422913808692;17.0;0.0;0.0963221883124171
AR;Starlark;0;1;0.3299369775713514;11.0;0.0;0.2493336751379697
AR;Swift;0;1;-0.2815696792495937;31.0;0.0;0.3034759035722339
AR;TeX;0;1;1.7722635080457172;21.0;0.0;0.1022447227675884
AR;Vim Script;0;1;1.768820975289696;17.0;0.0;0.111453124650764
AR;Vue;0;1;-0.2361018710647685;40.0;0.0;0.3820306306640872
AR;XSLT;0;1;1.6434237283110034;23.0;0.0;0.124267507817824
AR;Yacc;0;1;1.7978460836499597;15.0;0.0;0.1003185098174941
AT;Blade;0;1;-0.1487645679664171;49.0;0.0;0.2062092446880337
AT;CSS;0;1;-1.1116255854191277;75.0;0.0;0.1557233664235888
AT;Dart;0;1;-0.2403243402541655;34.0;0.0;0.1108630734341156
AT;Go;0;1;1.1216706748624503;7.0;0.0;0.3014181968778221
AT;HCL;0;1;1.8421476366299367;9.0;0.0;0.3279709160183058
AT;HTML;0;1;-1.2483274054571052;80.0;0.0;0.1243941841680129
AT;Hack;0;1;-0.1845136343820032;45.0;0.0;0.1870889077641204
AT;Handlebars;0;1;0.4675917461075199;23.0;0.0;0.4290444955110957
AT;Java;0;1;-0.528168899975628;33.0;0.0;0.2471284821648805
AT;JavaScript;0;1;-1.1724989856494688;65.0;0.0;0.2025398628636345
AT;Jupyter Notebook;0;1;0.670361088203384;9.0;0.0;0.1858788806058991
AT;Kotlin;0;1;-0.2257189392439794;43.0;0.0;0.174313594974269
AT;Less;0;1;-0.086061106193204;34.0;0.0;0.2370776215865441
AT;MATLAB;0;1;1.5302463650727978;14.0;0.0;0.4280965762801033
AT;Objective-C;0;1;-0.3457943986402767;21.0;0.0;0.1906633298760724
AT;PHP;0;1;-0.5141433734695996;78.0;0.0;0.2396043741728774
AT;Pug;0;1;0.5527214494140448;21.0;0.0;0.4257968210231826
AT;Python;0;1;-0.8392963797830137;17.0;0.0;0.5017635776807391
AT;Ruby;0;1;-0.8788442416310434;29.0;0.0;0.1743324460591602
AT;SCSS;0;1;-0.6799695219172239;58.0;0.0;0.1991076594093763
AT;Swift;0;1;-0.2815696792495937;31.0;0.0;0.1301525316662831
AT;TSQL;0;1;-0.1940627959837612;46.0;0.0;0.2419625740515607
AT;Vue;0;1;-0.2361018710647685;40.0;0.0;0.1881913365911128
AU;ANTLR;0;1;1.8369794642793325;13.0;0.0;0.4096659935985904
AU;Assembly;0;1;1.5955018948096171;14.0;0.0;0.3708468833943122
AU;Batchfile;1;0;1.6717726639101225;12.0;1.0;0.3407000755561193
AU;Blade;0;1;-0.1487645679664171;49.0;0.0;0.1595290365233603
AU;C;0;1;1.2784496689926468;15.0;0.0;0.3411486793985032
AU;C++;0;1;1.0005765426174964;18.0;0.0;0.3582427955436751
AU;CMake;0;1;1.6016361954331813;19.0;0.0;0.3976882682064101
AU;CSS;0;1;-1.1116255854191277;75.0;0.0;0.0658829627176722
AU;Cuda;0;1;1.8120705356235367;11.0;0.0;0.3627666594049266
AU;Dart;0;1;-0.2403243402541655;34.0;0.0;0.1311855897809409
AU;Dockerfile;0;1;1.0107673823842602;19.0;0.0;0.4233382544704985
AU;Fortran;0;1;1.9795863422056768;10.0;0.0;0.4503711056363787
AU;FreeMarker;0;1;1.6847962668517062;8.0;0.0;0.3115727400938955
AU;Go;0;1;1.1216706748624503;7.0;0.0;0.254469341793423
AU;HTML;0;1;-1.2483274054571052;80.0;0.0;0.0452342487883683
AU;Hack;0;1;-0.1845136343820032;45.0;0.0;0.1772708778196149
AU;Handlebars;0;1;0.4675917461075199;23.0;0.0;0.3084652878293761
AU;Java;0;1;-0.528168899975628;33.0;0.0;0.1289267544868745
AU;JavaScript;0;1;-1.1724989856494688;65.0;0.0;0.0623199578041952
AU;Jupyter Notebook;0;1;0.670361088203384;9.0;0.0;0.3158268965604332
AU;Kotlin;0;1;-0.2257189392439794;43.0;0.0;0.1530256068222325
AU;Less;0;1;-0.086061106193204;34.0;0.0;0.1585594618289793
AU;Lex;0;1;1.5517416284944368;15.0;0.0;0.3405884279497824
AU;MATLAB;1;0;1.5302463650727978;14.0;1.0;0.4590497210579324
