iso2_code;language;num_pushers;period;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca;year;avg_eci_similar_spec
AE;ANTLR;0;1;18;17;0;-0.2944604936855799;2.3351594763290353;0.0373161384750265;-0.3303956205373188;1.3032041169207615;0.0;2020;-0.3441664340938162
AE;ASP.NET;0;1;18;38;0;-0.2944604936855799;0.2839207989057119;0.213136995102816;-0.3303956205373188;0.1561231893218069;0.0;2020;-0.3441664340938162
AE;Ada;0;1;18;9;0;-0.2944604936855799;2.2899653514445513;0.0264586770720766;-0.3303956205373188;0.9733942490159856;0.0;2020;-0.3441664340938162
AE;Apex;0;1;18;7;0;-0.2944604936855799;2.001467387058699;0.0314543528390371;-0.3303956205373188;0.9059168416692654;0.0;2020;-0.3441664340938162
AE;AppleScript;0;1;18;9;0;-0.2944604936855799;2.5933044279988047;0.0236548855758041;-0.3303956205373188;1.232114928816946;0.0;2020;-0.3441664340938162
AE;Assembly;0;1;18;32;0;-0.2944604936855799;1.9556408637492584;0.0743674139390026;-0.3303956205373188;1.0134697879153955;0.0;2020;-0.3441664340938162
AE;AutoHotkey;0;1;18;10;0;-0.2944604936855799;2.5988168285225486;0.0244028492122413;-0.3303956205373188;1.279672254082963;0.0;2020;-0.3441664340938162
AE;Awk;0;1;18;27;0;-0.2944604936855799;2.168861430987413;0.0596516748071195;-0.3303956205373188;1.1323802690960982;0.0;2020;-0.3441664340938162
AE;Batchfile;193;1;18;36;0;-0.2944604936855799;1.7471843555744355;0.0916895008376528;-0.3303956205373188;0.9008867604526312;0.8842345154806884;2020;-0.3441664340938162
AE;Blade;0;1;18;54;0;-0.2944604936855799;-0.4606071616066987;0.3540021592169036;-0.3303956205373188;-0.0824538143765446;0.0;2020;-0.3441664340938162
AE;Brainfuck;0;1;18;7;0;-0.2944604936855799;1.9797136505626385;0.0306811242746088;-0.3303956205373188;0.8853199054665992;0.0;2020;-0.3441664340938162
AE;Brightscript;0;1;18;1;0;-0.2944604936855799;1.666640186810929;0.0224037439501346;-0.3303956205373188;0.4955095836317205;0.0;2020;-0.3441664340938162
AE;C;233;1;18;37;0;-0.2944604936855799;1.5037980944476748;0.1005585754405416;-0.3303956205373188;0.7997584065773911;0.6510972960154309;2020;-0.3441664340938162
AE;C#;320;1;18;68;1;-0.2944604936855799;0.0188258694979645;0.2801424173678346;-0.3303956205373188;0.0;1.103346823086326;2020;-0.3441664340938162
AE;C++;292;1;18;36;0;-0.2944604936855799;1.178963277107531;0.1087479741154323;-0.3303956205373188;0.6928390846594186;0.7114382995923008;2020;-0.3441664340938162
AE;CMake;0;1;18;35;0;-0.2944604936855799;1.802764150627622;0.0856703418562519;-0.3303956205373188;0.9354799855834718;0.0;2020;-0.3441664340938162
AE;CSS;2080;1;18;108;1;-0.2944604936855799;-1.2027521866672362;0.5743412418649025;-0.3303956205373188;-0.0;1.2013114757148555;2020;-0.3441664340938162
AE;Clojure;0;1;18;20;0;-0.2944604936855799;2.275876532939631;0.0483870167523506;-0.3303956205373188;1.1851940473125957;0.0;2020;-0.3441664340938162
AE;CoffeeScript;0;1;18;19;0;-0.2944604936855799;0.6610298139241809;0.115809306314031;-0.3303956205373188;0.4288905368043825;0.0;2020;-0.3441664340938162
AE;Common Lisp;0;1;18;15;0;-0.2944604936855799;2.420562223771302;0.0315440858675874;-0.3303956205373188;1.4047610605510723;0.0;2020;-0.3441664340938162
AE;Crystal;0;1;18;9;0;-0.2944604936855799;2.1372038305604333;0.0295344910112178;-0.3303956205373188;1.1119374065874676;0.0;2020;-0.3441664340938162
AE;Cuda;0;1;18;16;0;-0.2944604936855799;2.262993630427635;0.0401882253111725;-0.3303956205373188;1.118413247366801;0.0;2020;-0.3441664340938162
AE;D;0;1;18;12;0;-0.2944604936855799;2.3967942539492677;0.0280697240280081;-0.3303956205373188;1.3162951343558962;0.0;2020;-0.3441664340938162
AE;DIGITAL Command Language;0;1;18;14;0;-0.2944604936855799;2.39867568964418;0.0286425330290402;-0.3303956205373188;1.3411394392210103;0.0;2020;-0.3441664340938162
AE;DTrace;0;1;18;9;0;-0.2944604936855799;2.5690280082183268;0.023617091540865;-0.3303956205373188;1.1978008778474054;0.0;2020;-0.3441664340938162
AE;Dart;114;1;18;37;1;-0.2944604936855799;-0.6261940594326862;0.389743802349171;-0.3303956205373188;-0.0;1.96412665279465;2020;-0.3441664340938162
AE;Dockerfile;444;1;18;45;1;-0.2944604936855799;0.9560592557597312;0.1435710820339845;-0.3303956205373188;0.0;1.1277320679994278;2020;-0.3441664340938162
AE;Elixir;0;1;18;19;0;-0.2944604936855799;2.1668589415075346;0.041551963580154;-0.3303956205373188;1.291598928269012;0.0;2020;-0.3441664340938162
AE;Emacs Lisp;0;1;18;22;0;-0.2944604936855799;2.1604705838838676;0.0552646286700877;-0.3303956205373188;1.0963441384129065;0.0;2020;-0.3441664340938162
AE;Erlang;0;1;18;15;0;-0.2944604936855799;2.279425334414259;0.0324332388033441;-0.3303956205373188;1.332313048162668;0.0;2020;-0.3441664340938162
AE;F#;0;1;18;14;0;-0.2944604936855799;2.371033399129258;0.0327658104173952;-0.3303956205373188;1.314316877176443;0.0;2020;-0.3441664340938162
AE;Factor;0;1;18;1;0;-0.2944604936855799;1.666640186810929;0.0224037439501346;-0.3303956205373188;0.4955095836317205;0.0;2020;-0.3441664340938162
AE;Forth;0;1;18;13;0;-0.2944604936855799;2.3144070692225926;0.0323488144207023;-0.3303956205373188;1.2962403799868822;0.0;2020;-0.3441664340938162
