iso2_code;language;num_pushers;period;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca
AE;AIDL;0;1;19;8;0;-0.17948030351473732;1.9647874309720463;0.036023583670703976;-0.17716723498265316;0.7467915313956628;0.0
AE;AMPL;0;1;19;7;0;-0.17948030351473732;2.611604059629887;0.020808271696517073;-0.17716723498265316;1.201992095060018;0.0
AE;ANTLR;0;1;19;14;0;-0.17948030351473732;2.4174852341815463;0.034678996118880014;-0.17716723498265316;1.2630934363862456;0.0
AE;ASP.NET;0;1;19;36;0;-0.17948030351473732;0.07721316315731944;0.22573898682594043;-0.17716723498265316;0.11555551111024753;0.0
AE;ActionScript;0;1;19;8;0;-0.17948030351473732;2.2186111622681373;0.024857409570879806;-0.17716723498265316;1.1045711605114854;0.0
AE;Ada;0;1;19;9;0;-0.17948030351473732;2.44921495706688;0.022962875397965033;-0.17716723498265316;1.1849021176971672;0.0
AE;Apex;0;1;19;3;0;-0.17948030351473732;2.3340793601381953;0.026056667991276424;-0.17716723498265316;0.5851116457730058;0.0
AE;AppleScript;0;1;19;11;0;-0.17948030351473732;2.558977190232079;0.024895827047045852;-0.17716723498265316;1.3858044755298835;0.0
AE;Assembly;0;1;19;32;0;-0.17948030351473732;1.9304043185725768;0.07911172078676182;-0.17716723498265316;0.9582727230838491;0.0
AE;AutoHotkey;0;1;19;8;0;-0.17948030351473732;2.586413841656679;0.02380702736993625;-0.17716723498265316;1.1435602344473188;0.0
AE;Awk;0;1;19;27;0;-0.17948030351473732;2.1886911010482666;0.06276383603405362;-0.17716723498265316;1.089546791443453;0.0
AE;Batchfile;1689;1;19;39;0;-0.17948030351473732;1.6004806766069892;0.09989727203132501;-0.17716723498265316;0.7766551712002958;0.8944162961383703
AE;Bicep;0;1;19;4;0;-0.17948030351473732;2.1842672436146215;0.03551144548592755;-0.17716723498265316;0.6097616367201746;0.0
AE;Blade;210;1;19;58;0;-0.17948030351473732;-0.607868339976934;0.3746937077051322;-0.17716723498265316;-0.08341917018812044;0.5199788316642313
AE;Brainfuck;0;1;19;5;0;-0.17948030351473732;2.0100832282595618;0.025814020835583318;-0.17716723498265316;0.7013063772308238;0.0
AE;C;2409;1;19;39;0;-0.17948030351473732;1.4730524150422355;0.11054136312544682;-0.17716723498265316;0.6957049818367964;0.7621063213568786
AE;C#;2603;1;19;66;1;-0.17948030351473732;0.10924910230999905;0.27264868811674114;-0.17716723498265316;0.0;1.0237160117304251
AE;C++;2791;1;19;38;0;-0.17948030351473732;1.3675251369112322;0.1125985759742553;-0.17716723498265316;0.6412780164267232;0.7916085380569912
AE;CMake;508;1;19;35;0;-0.17948030351473732;1.9028597668539395;0.08512750294273275;-0.17716723498265316;0.9128599404352498;0.4270274032131602
AE;CSS;18316;1;19;115;1;-0.17948030351473732;-1.2036787142617495;0.6321358640980348;-0.17716723498265316;-0.0;1.1990567433072208
AE;Clojure;0;1;19;16;0;-0.17948030351473732;2.294773071468013;0.040869377024208065;-0.17716723498265316;1.2046090458674388;0.0
