iso2_code;language;num_pushers;year;diversity;ubiquity;mcp;eci;pci;density;coi;cog;rca;window
AE;AIDL;0;2020;19;8;0;-0.17965814263882107;1.962936338070976;0.036023583670703976;-0.1804256202012645;0.7431180980231668;0.0;2020-2021
AE;AMPL;0;2020;19;7;0;-0.17965814263882107;2.615574288421157;0.020750854088809452;-0.1804256202012645;1.215449246967518;0.0;2020-2021
AE;ANTLR;0;2020;19;14;0;-0.17965814263882107;2.4181103082678184;0.034678996118880014;-0.1804256202012645;1.267340205440379;0.0;2020-2021
AE;ASP.NET;0;2020;19;36;0;-0.17965814263882107;0.07615349966503283;0.22597847530196802;-0.1804256202012645;0.11365998799335314;0.0;2020-2021
AE;ActionScript;0;2020;19;8;0;-0.17965814263882107;2.21739425074595;0.024922042110029664;-0.1804256202012645;1.1079415135276847;0.0;2020-2021
AE;Ada;0;2020;19;9;0;-0.17965814263882107;2.4466036243036107;0.02306018939433334;-0.1804256202012645;1.1834399493213996;0.0;2020-2021
AE;Apex;0;2020;19;3;0;-0.17965814263882107;2.326312255454673;0.026676998114661277;-0.1804256202012645;0.5985812182724284;0.0;2020-2021
AE;AppleScript;0;2020;19;11;0;-0.17965814263882107;2.561610008775973;0.02486039087412943;-0.1804256202012645;1.3946897736151513;0.0;2020-2021
AE;Assembly;0;2020;19;32;0;-0.17965814263882107;1.9306780638588639;0.07911172078676182;-0.1804256202012645;0.9598647868880563;0.0;2020-2021
AE;Astro;0;2020;19;1;0;-0.17965814263882107;2.694587105842851;0.01923674899750142;-0.1804256202012645;0.39810031852046573;0.0;2020-2021
AE;AutoHotkey;0;2020;19;8;0;-0.17965814263882107;2.5882350504823837;0.02380702736993625;-0.1804256202012645;1.152624864060263;0.0;2020-2021
AE;Awk;0;2020;19;27;0;-0.17965814263882107;2.18898987752526;0.06276383603405362;-0.1804256202012645;1.0914530411412116;0.0;2020-2021
AE;Batchfile;1689;2020;19;39;0;-0.17965814263882107;1.6007589075317845;0.09989727203132501;-0.1804256202012645;0.7779420917486041;0.8944659725119527;2020-2021
AE;Blade;210;2020;19;58;0;-0.17965814263882107;-0.6077119535994201;0.3746937077051322;-0.1804256202012645;-0.08373051797572276;0.5200077115748593;2020-2021
AE;Brainfuck;0;2020;19;5;0;-0.17965814263882107;2.005528213077721;0.02609411546999115;-0.1804256202012645;0.7092355050713269;0.0;2020-2021
AE;C;2409;2020;19;39;0;-0.17965814263882107;1.4739620059261027;0.11042565569470071;-0.1804256202012645;0.6998576847394221;0.7621486491616074;2020-2021
AE;C#;2603;2020;19;66;1;-0.17965814263882107;0.10982385150293389;0.27250380069208724;-0.1804256202012645;0.0;1.0237728694814083;2020-2021
AE;C++;2791;2020;19;38;0;-0.17965814263882107;1.3684738745037248;0.11246955113750301;-0.1804256202012645;0.6455080599369434;0.7916525044310804;2020-2021
AE;CMake;508;2020;19;35;0;-0.17965814263882107;1.9031449526783237;0.08512750294273275;-0.1804256202012645;0.9143280159469938;0.42705112055026995;2020-2021
AE;CSS;18316;2020;19;115;1;-0.17965814263882107;-1.2035254179948276;0.632549907559172;-0.1804256202012645;-0.0;1.199123339578984;2020-2021
AE;Clojure;0;2020;19;16;0;-0.17965814263882107;2.294863185892244;0.040869377024208065;-0.1804256202012645;1.208382152538962;0.0;2020-2021
AE;CoffeeScript;0;2020;19;14;0;-0.17965814263882107;0.8137784712454769;0.06768988386516772;-0.1804256202012645;0.6489346672817365;0.0;2020-2021
AE;Common Lisp;0;2020;19;12;0;-0.17965814263882107;2.5541374257688942;0.028634618561011377;-0.1804256202012645;1.3578562159508838;0.0;2020-2021
AE;Cuda;0;2020;19;15;0;-0.17965814263882107;2.2368718481638608;0.04244956093052238;-0.1804256202012645;1.0722857001716917;0.0;2020-2021
AE;Cython;0;2020;19;19;0;-0.17965814263882107;2.2800203625929596;0.04848777354987339;-0.1804256202012645;1.2032830441200728;0.0;2020-2021
AE;D;0;2020;19;9;0;-0.17965814263882107;2.4897401951472973;0.024803610714939812;-0.1804256202012645;1.2887668749654624;0.0;2020-2021
AE;DIGITAL Command Language;0;2020;19;12;0;-0.17965814263882107;2.5333021098232527;0.026065867642242394;-0.1804256202012645;1.3922633044115382;0.0;2020-2021
AE;DTrace;0;2020;19;9;0;-0.17965814263882107;2.5776961722107044;0.022321946461603112;-0.1804256202012645;1.3165888568088047;0.0;2020-2021
AE;Dart;844;2020;19;40;1;-0.17965814263882107;-0.7989232528352608;0.4837912830191746;-0.1804256202012645;-0.0;1.4750961959713205;2020-2021
AE;Dockerfile;4162;2020;19;44;1;-0.17965814263882107;1.1994836281723307;0.13216236039925852;-0.1804256202012645;0.0;1.1309008892187633;2020-2021
AE;EJS;174;2020;19;25;0;-0.17965814263882107;0.3149645253103123;0.17836695792056328;-0.1804256202012645;0.20140343699628896;0.6748587156771162;2020-2021
AE;Elixir;0;2020;19;15;0;-0.17965814263882107;2.1810997689463965;0.03496099499798982;-0.1804256202012645;1.1905702609345934;0.0;2020-2021
AE;Elm;0;2020;19;8;0;-0.17965814263882107;2.49924468542881;0.023743587039669445;-0.1804256202012645;1.2261470491843833;0.0;2020-2021
AE;Emacs Lisp;0;2020;19;23;0;-0.17965814263882107;2.2315329364683807;0.056413224700097124;-0.1804256202012645;1.0924080601577368;0.0;2020-2021
AE;Erlang;0;2020;19;12;0;-0.17965814263882107;2.4698265240041493;0.02886464123882803;-0.1804256202012645;1.3356374843167311;0.0;2020-2021
