iso2_code;AIDL;AMPL;ANTLR;ASP.NET;ActionScript;Ada;Apex;AppleScript;Assembly;Astro;AutoHotkey;Awk;Batchfile;Blade;Brainfuck;C;C#;C++;CMake;CSS;Clojure;CoffeeScript;Common Lisp;Cuda;Cython;D;DIGITAL Command Language;DTrace;Dart;Dockerfile;EJS;Elixir;Elm;Emacs Lisp;Erlang;F#;Forth;Fortran;FreeMarker;G-code;GAP;GDB;GDScript;GLSL;Gherkin;Gnuplot;Go;Groovy;HCL;HLSL;HTML;Hack;Haml;Handlebars;Haskell;Inno Setup;Java;JavaScript;Jinja;Julia;Jupyter Notebook;Kotlin;LLVM;Less;Lex;Liquid;Logos;Lua;M;M4;MATLAB;Makefile;Mako;Mathematica;Meson;Mustache;NASL;NSIS;Nim;Nix;Nunjucks;OCaml;Objective-C;Objective-C++;OpenEdge ABL;OpenSCAD;PHP;PLSQL;PLpgSQL;Pascal;Pawn;Perl;PostScript;PowerShell;Processing;Prolog;Pug;Puppet;PureBasic;Python;QML;QMake;R;Raku;Rebol;RobotFramework;Roff;Ruby;Rust;SCSS;SQLPL;SWIG;Sass;Scala;Scheme;Scilab;ShaderLab;Shell;SmPL;Smalltalk;Smarty;Solidity;SourcePawn;Standard ML;Starlark;Stata;Stylus;Svelte;Swift;SystemVerilog;TSQL;Tcl;TeX;Thrift;Twig;TypeScript;UnrealScript;VBA;VBScript;VHDL;Verilog;Vim Script;Vim Snippet;Visual Basic .NET;Vue;XS;XSLT;Yacc;sed
AE;;;;;;;;;;;;;-0.10545422849250559;-0.4293347312324063;;-0.16121357216265103;-0.049267589883116775;-0.15014418516244846;-0.27916428402393556;0.17799621769942467;;;;;;;;;0.5736874343285113;0.11573349597985676;-0.43661240803340107;;;;;;;;;;;;;;;;-0.15462866195040534;;;;0.2191418561783245;;;;;;-0.041926012954431796;0.17061998096510153;;;0.41792447929967447;0.27591767604101713;;;;;;;;;;-0.14514863951298848;;;;;;;;;;;0.3469771379582482;;;;;;;;;;;0.07701986823828587;;;;;;0.19220342311429997;;;;;;;;0.2814137092286746;;0.09918390335136817;;;;;;;;0.09702733424765327;;;;0.24795576401195993;;;;;;;0.5684500311249494;;;;;;;0.0855830396671101;;;;;;;;;-0.26091310696899833;;;;
AF;;;;;;;;;;;;;;;;;;;;0.8019176032526051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8839946826255568;;;;;;;0.7750418453656724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.757167337728517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.4479014946770651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AL;;;;;;;;;;;;;;;;;0.789199206367156;;;0.5409702637888885;;;;;;;;;;-0.5824687670917752;;;;;;;;;;;;;;;;;;;;;0.42748774480940643;1.0245850976232964;;;;;0.22629724628021816;0.4505910982823981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8954497451793855;;;;;;;;;;;;;-0.35578540276528486;;;;;;;;-0.4472744036187456;;0.45077596084071164;;;;;;;;;;;;;;;;;;;;;;;;;;0.4452262296440485;;;;;;;;;;;;;
AM;;;;;;;;;;;;;-1.7156031729775367;1.3852485159905583;;-0.26971018570105054;0.1625744276604479;;;0.2989729552244327;;;;;;;;;;-0.1780092403778757;;;;;;;;;;;;;;;;;;;;;0.28972956188026716;;;;;;0.13826085638698607;0.4129111888383961;;;-0.42237986046979187;0.18027021954911165;;;;;;;;;;-0.3111557531794944;;;;;;;;;;;-0.4048339451635082;;;;0.5112075917454221;;;;;;;;;;;;;-0.3227198012493823;;;;;;;;-0.2817056910420497;;0.4430779565272953;;;;;;;;0.057020628796599;;;;;;;;;;;;;;;;;;0.3269562910040953;;;;;;;;;0.418348972053003;;;;
AO;;;;;;;;;;;;;;;;;;;;0.6546891321519499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6206311733194718;;;;;;-0.34520524336036673;0.6116326577418151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.1463376544421628;;;;;;;;;;;;;;;;;;;;;;;0.3549550907475719;;;;;;;;0.2720012528242266;;;;;;;;;;;;;;;;;;1.0237137141932195;;;;;;;;;;;;;
AR;;;;0.605395128467752;;;;;-0.4292134522901881;;;-1.4641966200456902;-0.474324641175784;0.06949256118074443;;-0.23846043267467437;0.08231927132673253;-0.5736892274749279;-0.8694327291457014;0.4177456045877088;;-0.2729916800773649;;;;;;;-0.7777490299501197;-0.42310281423658674;0.9237942844308827;;;;;;;;;;;;0.8772159070663186;-0.28174975360560467;-0.22438988605291219;;-0.6942838294573368;-0.8140782163591489;-0.5881779032733955;-0.06843074517151408;0.30295847445242485;0.27084154997412513;;0.43515818890203806;0.35991832375487137;;-0.12015019476117769;0.31814164378228604;-1.2097787135284732;;-0.5390885243975191;-0.41382194731777516;;-0.13561239983640486;-0.5135135880647466;;;-0.7781997306640334;;-1.056707202856498;-0.8264847058725298;-0.5276884376815185;-0.5419161692624164;;;-0.7725969188377221;;-1.162497642157894;;;;;-0.5151060628609304;-1.173603605922649;;;0.10695696794698645;;-0.47944173967281306;-0.34992235179334225;;-0.8371703042074023;;-0.7132866946189693;0.6109780134747378;;0.42614691559769;;;-0.45060579334571993;;;-0.4606120280683102;;;;-0.8419363265196803;-0.4661110890012365;-0.9118237255339897;0.3957616343490677;;;0.1510282912998888;-1.0374939250677813;;;-0.06721356466116891;-0.2477574178054567;;0.7754572489785301;-0.29269718954590296;0.520450551902143;;;-0.07381759038996874;;-1.5376045720381533;-0.5197486502786375;-0.7811017240152335;;0.5407290746250024;;-0.4799032863908631;;-0.16289496691648897;0.1257551564101615;;;;;;-0.4104699318936297;;0.37566021699784036;-0.33041675622796346;;-0.6017823810479731;-0.09442378353939146;
AT;;;0.5249743643851926;-0.7258836634677749;;;;;0.3750283726241864;;;0.6322282941261824;0.4140436680579249;-0.9762737963812673;;0.29272603177978174;0.2528973814241799;0.23739926156877988;0.5847632300129083;-0.29616945198327455;-0.6250958570337808;;;-0.8350503554744076;;;;;-0.4543306588660338;0.2989833763329685;-0.38035412727312756;;;0.5470133341656919;;;;;;;;-0.605224839142447;;0.6727327482108881;0.420063898688405;;0.1333020154676608;0.6562764245772418;-0.14782165466605357;0.18617529337812397;-0.2769448547322164;-0.3916664088738909;;0.10555820677595007;0.6512840642951508;;0.018496980951736262;-0.22353269546472324;0.6270072811390954;;-0.2909706102706339;0.09470347424538442;;-0.1935392430041324;0.5055135895034555;;;0.5535699511004849;;0.6735046426373785;0.13889453719644484;0.40603345540828983;;;;0.5255615873005018;;0.7749664254601405;;0.626813575417594;;;0.08281502614632738;0.5097624302795579;;;;;0.45208766356537955;-0.7073489595183825;;0.5640423178346411;;0.2887141062196238;;;-0.40323065622899906;;;0.01938172031758713;;0.8436970138017742;0.4741543394877242;-0.6086384621555474;;;0.47619790648794236;-0.04024481304264521;0.6024779496487358;-0.057067305321761165;;;0.30518512212523996;0.3843296503053053;;;;0.199937182675589;;0.16481486176210006;0.43610043151559014;-1.170842114065876;;;-0.232448785107622;;;-0.3861493692548521;-0.13627720602375476;;-1.2018096553464195;0.7162415241999531;0.6362528441996683;;0.8818995278191146;0.20526397025506654;;;;;;0.3570836627397794;;;-0.14150005000531662;;0.7054781498131651;0.4823855990885728;0.7118628449200586
AU;;;0.09116930891625545;0.10675466167040137;;;;0.8232409880001813;0.15841471961726908;;1.0610157987563102;0.21373018347567663;0.19516930270539676;-0.8185429218840805;;0.031703041055466;0.31514539114270124;-0.043796112629136554;0.08414023698963;-0.11988117883586086;0.27914500109614887;0.2826517636922142;0.5544410251419762;-0.16566782787264964;0.1796385222926571;0.7226297252590386;0.6030611218248718;;-0.7720948996526855;0.19281795625825168;-0.14709951593354387;0.38799845727759374;;0.3452659799997353;0.5510086074156053;0.9162850760790993;;0.25081083786979824;-0.3439442701844316;0.7549428452011627;0.3963598703469504;0.3426901222533045;0.24691606054390006;0.5001260725476435;0.29272143689152874;0.4688316248714084;0.12145227635697864;0.23015979964226163;0.5759217469862165;0.648252569139794;-0.12802168241166043;-0.5465180314087199;;;0.6226833839162778;1.0536651613340657;-0.492434717106479;-0.06978510832316957;0.3453318226806687;0.5759804951607467;-0.11794179574616927;-0.5581569254616463;;-0.33634766191506277;0.07285947295119147;0.4477741913089452;;0.3525305332808212;-0.20110347536619094;0.30311116436403357;0.1952486725862595;0.21681330631945003;0.31266457940213477;0.8364937253024549;0.5106776165374418;0.3074951948818898;0.3915615129773089;0.513881136276715;;0.7400022086326453;0.40596953382806983;-0.13032449399113571;-0.20279321435278133;0.36134858058933494;;;-0.3189624452440699;;0.14692555119665596;0.3380057730919245;;0.3082549951524139;0.5656947160822765;0.4129870105060358;0.6126580451326283;0.42774285962269964;0.042794504154407983;;;0.015121570661837681;-0.1157273129706147;0.07440817066632885;0.577980796351089;0.2602399162087255;;;0.25881435832192323;0.1641137142477486;0.39790614503511856;-0.06330450133592784;;0.477227804901151;0.17324149048716678;0.06652435741164706;0.7729452651170627;;0.6569076747445701;0.15084129037711422;;0.6384651892896089;0.16984797875709792;0.304847706248801;0.2681009351332958;;-0.24275910809512224;;-0.12151874579061273;0.5916109454451666;-0.32849476353033513;;0.3293057726470355;;0.32336135390382037;;-0.1652601423185382;0.11095173369513615;;0.27327892751610366;0.5789899457090976;;-0.5731719940074524;0.452118808761287;0.4973993794433585;0.7014781257476663;-0.4128845304762195;;0.34487924965013017;0.14497997741474156;0.3968842868169196
AZ;;;;;;;;;;;;;-1.3765611949424688;-0.35506261292283703;;-1.8222243307727717;1.1226233489638553;-0.7941523758251426;;0.4598067788956955;;;;;;;;;;-0.12878557886326125;;;;;;;;;;;;;;;;;;;;;0.4220569685713741;;;;;;0.1742938279775137;0.348250863924084;;;-1.183033090374245;-0.3819620074274976;;0.47751147986058656;;;;;;;;;;;;;;;;;;;;;;;0.3590821638965053;;;;;;;;;;;;;-0.08466109001402936;;;;;;;;-0.23260007701391966;;0.7541908655202081;;;;;;;;-0.1626134263500632;;;;;;;;;;;;;;;;;;-0.12639891542611753;;;;;;;;;;;;;
BA;;;;;;;;;;;;;;;;-0.4519624149788775;0.9450900029361915;-0.2032022179301306;;0.4310623767132786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.37125811204288395;;;;;;0.19377213257650017;0.4114846246702615;;;;;;;;;;;;;;-0.5727677711811874;;;;;;;;;;;-0.14518041904145984;;;;0.5101138239372704;;;;;;;;;;;;;-0.5779529509393984;;;;;;;;-0.2518481218787698;;0.3370769391971985;;;;;;;;-0.10849899406958254;;;;;;;;;;;;;;;;;;0.46245759702898626;;;;;;;;;0.4579629893496339;;;;
