iso2_code;language;entry01;consider00;pci;rca01;rel_density
AR;Yacc;0;1;2.119012304204972;0.0;0.0
AT;Blade;0;1;-0.607868339976934;0.0;0.25
AT;CSS;0;1;-1.2036787142617495;0.0;0.0
AT;Clojure;0;1;2.294773071468013;0.0;0.5
AT;Dart;0;1;-0.7976656432256355;0.0;0.0
AT;EJS;0;1;0.31669110409502776;0.0;0.0
AT;GDB;1;0;2.3994460085833937;0.0;0.8333333333333334
AT;HTML;0;1;-1.232076495332091;0.0;0.0
AT;Hack;0;1;-0.43790827196804394;0.0;0.0
AT;JavaScript;0;1;-1.0904736344677202;0.0;0.0
AT;Jupyter Notebook;0;1;0.8471960848148664;0.0;1.0
AT;Less;0;1;-0.2804520567789595;0.0;0.0
AT;NASL;1;0;2.4793272023911515;0.0;0.0
AT;Objective-C;0;1;-0.12118100788074036;0.0;0.0
AT;PHP;0;1;-0.7130581167150217;0.0;0.25
AT;Pascal;1;0;2.175104488673493;0.0;0.0
AT;Pug;0;1;0.6522318478058452;0.0;0.3333333333333333
AT;SCSS;0;1;-0.6678932864874003;0.0;0.5
AT;Sass;1;0;1.628693523048407;0.0;0.0
AT;Solidity;0;1;1.0639740202511812;0.0;0.0
AT;Starlark;1;0;0.711259233895177;0.0;0.0
AT;Swift;0;1;-0.5406199683576715;0.0;0.5
AT;TSQL;0;1;0.0590910475450887;0.0;0.0
AT;Vue;1;0;-0.44188233198423804;0.0;0.0
AU;Blade;0;1;-0.607868339976934;0.0;0.0
AU;C;0;1;1.4730524150422355;0.0;0.75
AU;C++;0;1;1.3675251369112322;0.0;0.5
AU;CSS;0;1;-1.2036787142617495;0.0;0.0
AU;Cuda;1;0;2.238044741357388;0.0;1.0
AU;Dart;0;1;-0.7976656432256355;0.0;0.0
AU;EJS;0;1;0.31669110409502776;0.0;1.0
AU;Erlang;1;0;2.4696583699352646;0.0;0.75
AU;HTML;0;1;-1.232076495332091;0.0;0.0
AU;Hack;0;1;-0.43790827196804394;0.0;0.5
AU;Java;0;1;-0.38912306692908444;0.0;1.0
AU;JavaScript;0;1;-1.0904736344677202;0.0;0.0
AU;Jupyter Notebook;0;1;0.8471960848148664;0.0;1.0
AU;Kotlin;0;1;-0.42841136847310457;0.0;0.0
AU;Less;0;1;-0.2804520567789595;0.0;0.5
AU;M;0;1;2.477021637341133;0.0;0.5
AU;Nim;0;1;2.1203343678592415;0.0;0.0
AU;OCaml;1;0;2.4715382454683827;0.0;0.6666666666666666
AU;Objective-C;0;1;-0.12118100788074036;0.0;0.0
AU;PHP;0;1;-0.7130581167150217;0.0;0.25
AU;QML;1;0;2.250034431709362;0.0;0.0
AU;SCSS;0;1;-0.6678932864874003;0.0;0.5
AU;SmPL;1;0;2.2313656142520846;0.0;0.0
AU;Standard ML;1;0;2.417400120031066;0.0;0.0
AU;Starlark;1;0;0.711259233895177;0.0;1.0
AU;Stylus;1;0;1.6141644795992551;0.0;0.0
AU;Swift;0;1;-0.5406199683576715;0.0;0.25
AU;Twig;0;1;1.4076038185774429;0.0;1.0
AU;VBA;1;0;2.34598737834802;0.0;1.0
AU;VHDL;0;1;2.321942450011163;0.0;1.0
AU;Verilog;0;1;2.315797841797346;0.0;0.0
AU;Vue;0;1;-0.44188233198423804;0.0;0.0
AZ;Batchfile;0;1;1.6004806766069892;0.0;0.0
AZ;C;0;1;1.4730524150422355;0.0;0.0
AZ;C++;0;1;1.3675251369112322;0.0;0.0
AZ;CMake;0;1;1.9028597668539395;0.0;0.0
AZ;Dart;1;0;-0.7976656432256355;0.0;1.0
AZ;Dockerfile;0;1;1.1991486271179024;0.0;0.5
AZ;Java;1;0;-0.38912306692908444;0.0;1.0
AZ;Jupyter Notebook;0;1;0.8471960848148664;0.0;0.0
AZ;Makefile;0;1;1.5834986395889006;0.0;0.0
AZ;Objective-C;1;0;-0.12118100788074036;0.0;1.0
AZ;PowerShell;0;1;1.164759552252281;0.0;0.0
AZ;Python;0;1;0.1363314420870251;0.0;0.0
AZ;Ruby;0;1;-0.5314756702149153;0.0;1.0
AZ;Shell;0;1;-0.1879113331490984;0.0;0.5
AZ;TypeScript;0;1;-0.13588730026915347;0.0;1.0
BA;C;0;1;1.4730524150422355;0.0;0.0
BA;C++;1;0;1.3675251369112322;0.0;0.0
BA;CMake;1;0;1.9028597668539395;0.0;0.0
BA;Dart;1;0;-0.7976656432256355;0.0;0.0
BA;Dockerfile;1;0;1.1991486271179024;0.0;0.5
BA;Makefile;0;1;1.5834986395889006;0.0;0.0
BA;Python;0;1;0.1363314420870251;0.0;0.0
BA;Ruby;0;1;-0.5314756702149153;0.0;0.0
BA;Shell;0;1;-0.1879113331490984;0.0;0.5
BA;Swift;1;0;-0.5406199683576715;0.0;0.5
BD;Assembly;0;1;1.9304043185725768;0.0;0.0
BD;Batchfile;0;1;1.6004806766069892;0.0;0.0
BD;C;1;0;1.4730524150422355;0.0;0.25
BD;C#;0;1;0.10924910230999905;0.0;0.0
BD;CMake;0;1;1.9028597668539395;0.0;0.0
BD;Dockerfile;0;1;1.1991486271179024;0.0;0.0
BD;Gherkin;0;1;1.7095135076278267;0.0;0.0
BD;Go;0;1;1.4738099718038895;0.0;0.0
BD;Handlebars;0;1;0.6221021671307078;0.0;0.0
BD;Java;0;1;-0.38912306692908444;0.0;0.0
BD;Jupyter Notebook;0;1;0.8471960848148664;0.0;0.0
BD;Lex;0;1;2.1625991970039027;0.0;0.0
BD;Lua;0;1;1.955032927393994;0.0;0.0
BD;MATLAB;0;1;1.8559178394731168;0.0;0.0
BD;Makefile;0;1;1.5834986395889006;0.0;0.2
BD;Nix;0;1;2.374165438622495;0.0;0.0
BD;Objective-C++;0;1;2.164512377073529;0.0;0.0
BD;Perl;0;1;2.0311896384559676;0.0;0.0
BD;PowerShell;0;1;1.164759552252281;0.0;0.0
BD;Pug;0;1;0.6522318478058452;0.0;0.3333333333333333
BD;Python;0;1;0.1363314420870251;0.0;0.0
BD;R;0;1;1.7766913381020464;0.0;0.0
BD;Roff;0;1;2.0836874965079293;0.0;0.0
BD;Ruby;0;1;-0.5314756702149153;0.0;1.0
BD;Rust;0;1;2.2186114515487625;0.0;0.0
BD;Sass;0;1;1.628693523048407;0.0;0.0
BD;Shell;0;1;-0.1879113331490984;0.0;0.5
